vol,kod_kawasan,negeri,kawasan,gelaran,nama,tahun_lahir,jantina,kumpulan_etnik,parti_x,jawatan_kabinet,jawatan_parlimen,gambar,parti_y
2,,,Sarawak,Pengarah,Banyang Anak Janting,,male,bumiputera,,,,,
2,P099,Johor,Kluang Selatan,Tuan,Chan Chong Wen,,male,chinese,,,,,Perikatan - MCA
2,P070,Selangor,Setapak,Tuan,Chan Seong Yoon,,male,chinese,,,,,Perikatan - MCA
2,P060,Pahang,Bentong,Tuan,Chan Siang Sun,,male,chinese,,,,,Perikatan - MCA
2,P073,Selangor,Damansara,Tuan,Chen Wing Sum,,male,chinese,,,,,Perikatan - MCA
2,,,Sarawak,Tuan,Chia Chin Shin,,male,chinese,,,,,
2,,,Sabah,Tuan,Francis Chia Nyuk Tong,,male,chinese,,,,,
2,,,Singapore,Tuan,Chia Thye Poh,,male,chinese,,,,,
2,P049,Perak,Ulu Kinta,Tuan,Chin Foon,,male,chinese,,,,,Perikatan - MCA
2,P071,Selangor,Bungsar,Tuan,C. V. Devan Nair,,male,indian,,,,,PETIR > DAP
2,,,Sarawak,Tuan,Edwin Anak Tangkun,,male,bumiputera,,,,,
2,P100,Johor,Johor Bharu Timur,Datin,Fatimah Binti Haji Abdul Majid,,female,bumiputera,,,,,Perikatan - UMNO
2,P003,Kedah,Jitra,Datin,Fatimah Binti Haji Hashim,,female,bumiputera,,,,,Perikatan - UMNO
2,,,Sabah,Tuan,S. Fazul Rahman,,male,bumiputera,,,,,
2,,,Sabah,Datu,Ganie Gilong,,male,bumiputera,,,,,
2,,,Singapore,Dr.,Goh Keng Swee,,male,chinese,,,,,
2,,,Sabah,Tuan,Ganing Bin Jangkat,,male,bumiputera,,,,,
2,P034,Pulau Pinang,Penang Utara,Tuan,Geh Chong Keat,,male,chinese,,,,,Perikatan - MCA
2,P067,Selangor,Kapar,Tuan,Hamzah Bin Alang,,male,bumiputera,,,,,Perikatan - UMNO
2,P013,Kedah,Kulim Utara,Tuan,Hanafi Bin Mohd. Yunus,,male,bumiputera,,,,,Perikatan - UMNO
2,P010,Kedah,Jerai,Tuan,Hanafiah Bin Hussain,,male,bumiputera,,,,,Perikatan - UMNO
2,P011,Kedah,Baling,Tuan,Harun Bin Abdullah,,male,bumiputera,,,,,Perikatan - UMNO
2,P015,Kelantan,Tumpat,Tuan,Wan Hassan Bin Wan Daud,,male,bumiputera,,,,,PAS
2,,,Singapore,Tuan,Ho See Beng,,male,chinese,,,,,
2,,,Sabah,Tuan,Stanley Ho Ngun Khiu,,male,,,,,,
2,P059,Pahang,Raub,Tuan,Hussein Bin To' Muda Hassan,,male,bumiputera,,,,,Perikatan - UMNO
2,P048,Perak,Parit,Tuan,Hussein Bin Mohd. Noordin,,male,bumiputera,,,,,Perikatan - UMNO
2,P024,Kelantan,Ulu Kelantan,Tuan,Hussein Bin Sulaiman,,male,bumiputera,,,,,Perikatan - UMNO
2,P020,Kelantan,Kota Bharu Hulu,Tuan Haji,Hussain Rahimi Bin Haji Saman,,male,bumiputera,,,,,PAS
2,,,Sarawak,Tuan,Ikhwan Zaini,,male,bumiputera,,,,,
2,P032,Pulau Pinang,Seberang Tengah,Tuan,Ibrahim Bin Abdul Rahman,,male,bumiputera,,,,,Perikatan - UMNO
2,P035,Pulau Pinang,Penang Selatan,Tuan,Ismail Bin Idris,,male,bumiputera,,,,,Perikatan - UMNO
