author_id,name,birth_year,sex,ethnicity,start_date,end_date
20984,MOHD HISAMUDIN BIN YAHAYA,,male,bumiputera,2021-10-04,2024-10-03
20991,MOHD KHALID BIN AHMAD,,male,bumiputera,2012-04-25,2015-04-24
20993,MOHD NA'IM BIN MOKHTAR,,male,bumiputera,2022-12-03,2025-12-02
20999,MOHD NOR BIN HAJI MONUTTY,,male,bumiputera,2015-12-17,2018-12-16
1663,MOHD RADZI BIN SHEIKH AHMAD,1942.0,male,bumiputera,2020-06-16,2023-06-15
21013,MUHAMAD BIN MUSTAFA,,male,bumiputera,2017-07-08,2020-07-07
21012,MUHAMAD YUSOF BIN HUSIN,,male,bumiputera,2011-05-21,2014-05-20
21018,MUHAMMAD OLIAN BIN ABDULLAH,1971.0,male,bumiputera,2012-12-10,2015-12-09
21019,MUHAMMAD ZAHID BIN MD ARIP,1967.0,male,bumiputera,2020-06-16,2023-06-15
21023,MUJAHID BIN YUSOF,,male,bumiputera,2023-05-25,2026-05-24
21026,MUSODDAK BIN AHMAD,,male,bumiputera,2023-03-20,2026-03-19
21028,MUSTAPA KAMAL BIN MOHD YUSOFF,,male,bumiputera,2016-12-07,2019-12-06
21038,NALLAKARUPPAN A/L SOLAIMALAI,,male,indian,2011-11-02,2014-11-01
21044,NELSON A/L RENGANATHAN,,male,indian,2021-11-23,2024-11-22
21043,NELSON W ANGANG,,male,bumiputera,2024-05-16,2027-05-15
21045,NG CHIANG CHIN,,male,chinese,2014-09-10,2017-09-09
3663,NIK MOHAMAD ABDUH BIN NIK ABDUL AZIZ,,male,bumiputera,2023-07-08,2026-07-07
4336,NOORITA BINTI SUAL,1980.0,female,bumiputera,2023-03-20,2026-03-19
21062,NORLIZA BINTI ABDUL RAHIM,,female,bumiputera,2011-05-30,2014-05-29
21064,NUING ANAK JELUING,,male,bumiputera,2017-12-11,2020-12-10
3524,NUR JAZLAN BIN MOHAMAD,1966.0,male,bumiputera,2023-06-15,2026-06-14
21069,ONG CHONG SWEN,,female,chinese,2018-02-19,2021-02-18
21084,PAUL IGAI,,male,bumiputera,2017-12-04,2020-12-03
21085,PAUL LOW SENG KUAN,,male,chinese,2013-05-15,2016-05-14
21086,PELE PETER TINGGOM,,male,bumiputera,2024-03-05,2027-03-04
21095,RABIYAH BINTI ALI,,female,bumiputera,2016-12-07,2019-12-06
21098,RAHEMAH BINTI IDRIS,,female,bumiputera,2016-12-07,2019-12-06
21099,RAHIMAH BINTI HAJI MAHAMAD,,female,bumiputera,2014-03-31,2017-03-30
991,RAIS BIN YATIM,1943.0,male,bumiputera,2020-06-16,2023-06-15
21104,RAJA ROPIAAH BINTI RAJA ABDULLAH,,female,bumiputera,2012-04-09,2015-04-08
21108,RAS ADIBA BINTI MOHD RADZI,,female,bumiputera,2020-05-20,2023-05-19
21110,RAZALI BIN IDRIS,1967.0,male,bumiputera,2018-08-27,2021-08-26
21117,RITA SARIMAH ANAK PATRICK INSOL,,female,bumiputera,2020-06-22,2023-06-21
21119,ROBERT LAU HUI YEW,,male,chinese,2020-06-22,2023-06-21
21120,RODERICK WONG SIEW LEAD,1990.0,male,chinese,2023-03-20,2026-03-19
21123,ROHANI BINTI ABDULLAH,,female,bumiputera,2012-01-26,2015-01-25
21127,ROS SURYATI BINTI ALANG,,female,bumiputera,2022-09-26,2025-09-25
21129,ROSLIN BINTI ABDUL RAHMAN,,female,bumiputera,2012-05-22,2015-05-21
21131,ROSNI BINTI SOHAR,,female,bumiputera,2025-01-09,2028-01-08
21136,S. BAGIAM A/P AYEM PERUMAL,,female,indian,2011-08-22,2014-08-21
21138,SA. VIGNESWARAN,1966.0,male,indian,2014-06-23,2017-06-22
21150,SAAT BIN HJ ABU,,male,bumiputera,2011-11-15,2014-11-14
2615,SAIFUDDIN NASUTION BIN ISMAIL,1964.0,male,bumiputera,2022-12-03,2025-12-02
21153,SAIFUL IZHAM BIN RAMLI,,male,bumiputera,2011-05-21,2014-05-20
21156,SALEHUDDIN BIN SAIDIN,,male,bumiputera,2024-07-22,2027-07-21
21158,SAMBANTHAN A/L MANICKAM,,male,indian,2017-09-25,2020-09-24
21160,SARASWATHY A/P KANDASAMI,1968.0,female,indian,2022-12-10,2025-12-09
21162,SERUANDI BIN SAAD,,male,bumiputera,2021-08-26,2024-08-25
21170,SHAMSUDDIN BIN HJ. ABD GHAFFAR,,male,bumiputera,2021-12-20,2024-12-19
21178,SITI AISHAH BINTI SHAIK ISMAIL,1985.0,female,bumiputera,2015-06-02,2018-06-01
4128,SIVARAJ A/L CHANDRAN,1976.0,male,indian,2023-03-20,2026-03-19
21186,SOPIAH BINTI SHARIF,,female,bumiputera,2017-07-17,2020-07-16
21188,SUBRAMANIAM A/L VERUTHASALAM,,male,indian,2011-08-22,2014-08-21
21193,SUSAN CHEMERAI ANDING,,female,bumiputera,2020-06-22,2023-06-21
21196,SYED HUSIN ALI,,male,bumiputera,2012-12-17,2015-12-16
21197,SYED IBRAHIM BIN KADER,,male,bumiputera,2011-05-30,2014-05-29
21198,SYED SHAHIR BIN SYED MOHAMUD,1953.0,male,bumiputera,2012-06-01,2015-05-31
21219,TENGKU ZAFRUL BIN TENGKU ABDUL AZIZ,1973.0,male,bumiputera,2020-03-09,2022-11-03
21220,TEO ENG TEE @ TEO KOK CHEE,,male,chinese,2018-01-16,2021-01-15
21224,TI LIAN KER,,male,chinese,2018-08-10,2021-08-09
