ge,state,parlimen,ballot_order,party,votes,result,result_desc,uid,name,birth_year,sex,ethnicity
14,Perak,P.072 Tapah,1,PARTI KEADILAN RAKYAT (PKR),15472,0,lost,4115,MOHAMED AZNI,1957,male,bumiputera
14,Perak,P.072 Tapah,2,BARISAN NASIONAL (BN),16086,1,won,3393,M. SARAVANAN,1968,male,indian
14,Perak,P.072 Tapah,3,PARTI ISLAM SE MALAYSIA (PAS),4616,0,lost,4116,NORAZLI BIN MUSA,1967,male,bumiputera
14,Perak,P.073 Pasir Salak,1,PARTI KEADILAN RAKYAT (PKR),12291,0,lost,4117,SALIHUDDIN,1959,male,bumiputera
14,Perak,P.073 Pasir Salak,2,BARISAN NASIONAL (BN),20003,1,won,3395,SHAHUDDIN BIN ABDUL RAHMAN,1948,male,bumiputera
14,Perak,P.073 Pasir Salak,3,PARTI ISLAM SE MALAYSIA (PAS),11151,0,lost,4118,ZAFARULAZHAN BIN ZAN,1981,male,bumiputera
14,Perak,P.074 Lumut,1,BARISAN NASIONAL (BN),21555,0,lost,4119,DIRAJA ZAMBRY ABDUL KADIR,1962,male,bumiputera
14,Perak,P.074 Lumut,2,PARTI ISLAM SE MALAYSIA (PAS),10135,0,lost,4120,ZAMRI IBRAHIM,1975,male,bumiputera
14,Perak,P.074 Lumut,3,PARTI KEADILAN RAKYAT (PKR),21955,1,won,3333,HATTA RAMLI,1957,male,bumiputera
14,Perak,P.075 Bagan Datuk,1,PARTI ISLAM SE MALAYSIA (PAS),4061,0,lost_deposit,4121,ATA ABDUL MUNEIM HASAN ADLI,1958,male,bumiputera
14,Perak,P.075 Bagan Datuk,2,BARISAN NASIONAL (BN),18909,1,won,2393,AHMAD ZAHID BIN HAMIDI,1953,male,bumiputera
14,Perak,P.075 Bagan Datuk,3,PARTI KEADILAN RAKYAT (PKR),13836,0,lost,4122,PAKHRURRAZI HJ ARSHAD,1953,male,bumiputera
14,Perak,P.076 Teluk Intan,1,PARTI KEADILAN RAKYAT (PKR),29170,1,won,3376,NGA KOR MING,1972,male,chinese
14,Perak,P.076 Teluk Intan,2,PARTI ISLAM SE MALAYSIA (PAS),6494,0,lost_deposit,4123,AHMAD RAMADZAN,1956,male,bumiputera
14,Perak,P.076 Teluk Intan,3,BARISAN NASIONAL (BN),17991,0,lost,2709,MAH SIEW KEONG,1962,male,bumiputera
14,Perak,P.077 Tanjong Malim,1,PARTI ISLAM SE MALAYSIA (PAS),10311,0,lost,4124,MOHD TARMIZI,1965,male,bumiputera
14,Perak,P.077 Tanjong Malim,2,BARISAN NASIONAL (BN),19314,0,lost,4125,MAH HANG SOON,1966,male,chinese
14,Perak,P.077 Tanjong Malim,3,PARTI KEADILAN RAKYAT (PKR),24672,1,won,4126,CHANG LIH KANG,1980,male,chinese
14,Pahang,P.078 Cameron Highlands,1,PARTI KEADILAN RAKYAT (PKR),9710,0,lost,3398,MANOGARAN,1960,male,indian
14,Pahang,P.078 Cameron Highlands,2,PARTI ISLAM SE MALAYSIA (PAS),3587,0,lost,4127,WAN MAHADIR,1973,male,bumiputera
14,Pahang,P.078 Cameron Highlands,3,BARISAN NASIONAL (BN),10307,1,won,4128,SIVARRAAJH CHANDRAN,1977,male,indian
14,Pahang,P.078 Cameron Highlands,4,BARISAN JEMAAH ISLAMIAH SE MALAYSIA (BERJASA),81,0,lost_deposit,4129,MOHD TAHIR BIN HAJI KASSIM,1960,male,bumiputera
14,Pahang,P.078 Cameron Highlands,5,PARTI SOSIALIS MALAYSIA (PSM),680,0,lost_deposit,4130,SURESH KUMAR,1977,male,indian
14,Pahang,P.079 Lipis,1,PARTI KEADILAN RAKYAT (PKR),7426,0,lost,4131,BADARUDIN ABDUL RAHAMAN,1953,male,bumiputera
14,Pahang,P.079 Lipis,2,BARISAN NASIONAL (BN),13995,1,won,3752,ABDUL RAHMAN BIN MOHAMAD,1962,male,bumiputera
14,Pahang,P.079 Lipis,3,PARTI ISLAM SE MALAYSIA (PAS),6671,0,lost,4132,SOBIRIN BIN HJ DULI,1951,male,bumiputera
14,Pahang,P.080 Raub,1,PARTI KEADILAN RAKYAT (PKR),20659,1,won,4133,TENGKU ZULPURI SHAH,1965,male,bumiputera
14,Pahang,P.080 Raub,2,BARISAN NASIONAL (BN),17500,0,lost,2741,CHEW MEI FUN,1965,female,chinese
14,Pahang,P.080 Raub,3,PARTI ISLAM SE MALAYSIA (PAS),7866,0,lost,3404,MOHAMED NILAM,1969,male,bumiputera
14,Pahang,P.081 Jerantut,1,BARISAN NASIONAL (BN),22640,1,won,3756,AHMAD NAZLAN,1958,male,bumiputera
14,Pahang,P.081 Jerantut,2,PARTI ISLAM SE MALAYSIA (PAS),16732,0,lost,4134,YOHANIS AHMAD,1979,male,bumiputera
14,Pahang,P.081 Jerantut,3,PARTI KEADILAN RAKYAT (PKR),10877,0,lost,4135,WAN MOHD SHAHRIR,1972,male,bumiputera
14,Pahang,P.082 Indera Mahkota,1,BARISAN NASIONAL (BN),17628,0,lost,4136,JOHAN BIN MAT SAH,1962,male,bumiputera
14,Pahang,P.082 Indera Mahkota,2,PARTI ISLAM SE MALAYSIA (PAS),17515,0,lost,3414,NASRUDIN HASSAN TANTAWI,1971,male,bumiputera
14,Pahang,P.082 Indera Mahkota,3,PARTI KEADILAN RAKYAT (PKR),28578,1,won,3416,SAIFUDDIN ABDULLAH,1961,male,bumiputera
14,Pahang,P.083 Kuantan,1,PARTI ISLAM SE MALAYSIA (PAS),14696,0,lost,4137,SULAIMAN MD DERUS,1963,male,bumiputera
14,Pahang,P.083 Kuantan,2,PARTI KEADILAN RAKYAT (PKR),22807,1,won,2716,FUZIAH SALLEH,1959,female,bumiputera
14,Pahang,P.083 Kuantan,3,BARISAN NASIONAL (BN),13667,0,lost,4138,WONG KEAN HWEE,1962,male,chinese
14,Pahang,P.084 Paya Besar,1,PARTI KEADILAN RAKYAT (PKR),11776,0,lost,4139,MOHD ASHRAF MUSTAQIM,1987,male,bumiputera
14,Pahang,P.084 Paya Besar,2,BARISAN NASIONAL (BN),19033,1,won,4140,MOHD SHAHAR BIN ABDULLAH,1980,male,bumiputera
14,Pahang,P.084 Paya Besar,3,PARTI ISLAM SE MALAYSIA (PAS),13291,0,lost,4141,MOHAMAD KHAIR BIN MOHD NOOR,1958,male,bumiputera
14,Pahang,P.085 Pekan,1,PARTI KEADILAN RAKYAT (PKR),7662,0,lost_deposit,4142,MUHD. ZAHID MD. ARIP,1967,male,bumiputera
14,Pahang,P.085 Pekan,2,BARISAN NASIONAL (BN),43854,1,won,1216,MOHD NAJIB BIN ABDUL RAZAK,1954,male,bumiputera
14,Pahang,P.085 Pekan,3,BEBAS (BEBAS),103,0,lost_deposit,4143,ABDUL KADIR BIN SAINUDIN,1980,male,bumiputera
14,Pahang,P.085 Pekan,4,PARTI ISLAM SE MALAYSIA (PAS),18995,0,lost,4144,AHIATUDIN BIN DAUD,1956,male,bumiputera
14,Pahang,P.086 Maran,1,PARTI ISLAM SE MALAYSIA (PAS),12301,0,lost,4145,HASENAN HARON,1958,male,bumiputera
14,Pahang,P.086 Maran,2,BARISAN NASIONAL (BN),16064,1,won,3413,ISMAIL BIN HJ ABDUL MUTTALIB,1955,male,bumiputera
14,Pahang,P.086 Maran,3,PARTI KEADILAN RAKYAT (PKR),4360,0,lost,4146,AHMAD FARID BIN AHMAD NORDIN,1984,male,chinese
14,Pahang,P.087 Kuala Krau,1,PARTI KEADILAN RAKYAT (PKR),5071,0,lost,4147,MOHAMAD RAFIDEE,1974,male,bumiputera
14,Pahang,P.087 Kuala Krau,2,PARTI ISLAM SE MALAYSIA (PAS),15182,0,lost,3415,KAMAL BIN ASHAARI,1971,male,bumiputera
14,Pahang,P.087 Kuala Krau,3,BARISAN NASIONAL (BN),18058,1,won,1613,ISMAIL BIN MOHAMED SAID,1966,male,bumiputera
14,Pahang,P.088 Temerloh,1,BEBAS (BEBAS),178,0,lost_deposit,4148,KHAIDIR AHMAD,1963,male,bumiputera
14,Pahang,P.088 Temerloh,2,BEBAS (BEBAS),46,0,lost_deposit,4149,MUHD FAKHRUDIN B ABU HANIPAH,1989,male,bumiputera
14,Pahang,P.088 Temerloh,3,BARISAN NASIONAL (BN),22094,0,lost,4150,MOHD SHARKAR BIN SHAMSUDIN,1963,male,bumiputera
14,Pahang,P.088 Temerloh,4,PARTI ISLAM SE MALAYSIA (PAS),14734,0,lost,4151,MOHD JUSOH BIN DARUS,1956,male,bumiputera
14,Pahang,P.088 Temerloh,5,PARTI KEADILAN RAKYAT (PKR),23998,1,won,4152,ANUAR TAHIR,1953,male,bumiputera
14,Pahang,P.089 Bentong,1,BARISAN NASIONAL (BN),23684,0,lost,2721,LIOW TIONG LAI,1962,male,chinese
14,Pahang,P.089 Bentong,2,PARTI ISLAM SE MALAYSIA (PAS),5706,0,lost_deposit,4153,BALASUBRAMANIAM A/L NACHIAPPAN,1958,male,indian
14,Pahang,P.089 Bentong,3,PARTI KEADILAN RAKYAT (PKR),25716,1,won,3763,WONG TACK,1959,male,chinese
14,Pahang,P.090 Bera,1,PARTI KEADILAN RAKYAT (PKR),18449,0,lost,3764,ZAKARIA BIN ABDUL HAMID,1965,male,bumiputera
14,Pahang,P.090 Bera,2,PARTI ISLAM SE MALAYSIA (PAS),8096,0,lost,4154,MUSANIFF BIN ABDUL RAHMAN,1965,male,bumiputera
14,Pahang,P.090 Bera,3,BARISAN NASIONAL (BN),20760,1,won,3061,ISMAIL SABRI BIN YAAKOB,1960,male,bumiputera
14,Pahang,P.091 Rompin,1,PARTI ISLAM SE MALAYSIA (PAS),15233,0,lost,4155,SHAHRUL,1980,male,bumiputera
14,Pahang,P.091 Rompin,2,PARTI KEADILAN RAKYAT (PKR),7876,0,lost,4156,SITARUNISAH BINTI ABDUL KADIR,1973,female,bumiputera
14,Pahang,P.091 Rompin,3,BARISAN NASIONAL (BN),26628,1,won,4157,HASAN BIN ARIFFIN,1953,male,bumiputera
14,Selangor,P.092 Sabak Bernam,1,BARISAN NASIONAL (BN),12862,1,won,3768,FASIAH,1956,male,bumiputera
14,Selangor,P.092 Sabak Bernam,2,PARTI ISLAM SE MALAYSIA (PAS),9300,0,lost,4158,MUHAMMAD LABIB BIN ABDUL JALIL,1987,male,bumiputera
14,Selangor,P.092 Sabak Bernam,3,PARTI KEADILAN RAKYAT (PKR),11188,0,lost,4159,WARNO BIN DOGOL,1961,male,bumiputera
14,Selangor,P.093 Sungai Besar,1,PARTI ISLAM SE MALAYSIA (PAS),7220,0,lost,3769,SALLEH HUSIN,1949,male,bumiputera
14,Selangor,P.093 Sungai Besar,2,PARTI KEADILAN RAKYAT (PKR),17350,1,won,4160,MUSLIMIN,1968,male,bumiputera
14,Selangor,P.093 Sungai Besar,3,BARISAN NASIONAL (BN),16636,0,lost,4161,BUDIMAN BIN MOHD ZOHDI,1972,male,bumiputera
14,Selangor,P.094 Hulu Selangor,1,BEBAS (BEBAS),426,0,lost_deposit,4162,KUMAR A/L S. PARAMASIVAM,1970,male,indian
14,Selangor,P.094 Hulu Selangor,2,PARTI KEADILAN RAKYAT (PKR),40783,1,won,4163,JUNE LEOW,1965,female,chinese
14,Selangor,P.094 Hulu Selangor,3,BARISAN NASIONAL (BN),27392,0,lost,3772,P.KAMALANATHAN,1966,male,indian
14,Selangor,P.094 Hulu Selangor,4,PARTI ISLAM SE MALAYSIA (PAS),16620,0,lost,1118,WAN MAT,1965,male,bumiputera
14,Selangor,P.095 Tanjong Karang,1,PARTI KEADILAN RAKYAT (PKR),15626,0,lost,4164,ZULKAFPERI,1960,male,bumiputera
14,Selangor,P.095 Tanjong Karang,2,BARISAN NASIONAL (BN),17596,1,won,2416,NOH BIN OMAR,1958,male,bumiputera
14,Selangor,P.095 Tanjong Karang,3,PARTI ISLAM SE MALAYSIA (PAS),7276,0,lost,4165,NOR AZ AZLAN BIN AHMAD,1968,male,bumiputera
14,Selangor,P.096 Kuala Selangor,1,PARTI KEADILAN RAKYAT (PKR),29842,1,won,3424,DZULKEFLY AHMAD,1956,male,bumiputera
14,Selangor,P.096 Kuala Selangor,2,BARISAN NASIONAL (BN),21344,0,lost,3775,IRMOHIZAM,1976,male,bumiputera
14,Selangor,P.096 Kuala Selangor,3,PARTI ISLAM SE MALAYSIA (PAS),8535,0,lost,4166,FAKARUDDIN,1972,male,bumiputera
14,Selangor,P.097 Selayang,1,BARISAN NASIONAL (BN),19501,0,lost,4167,KANG MENG FUAT,1982,male,chinese
14,Selangor,P.097 Selayang,2,PARTI ISLAM SE MALAYSIA (PAS),18343,0,lost,3810,BRIG. GEN HASHIM KARIM,1946,male,bumiputera
14,Selangor,P.097 Selayang,3,PARTI KEADILAN RAKYAT (PKR),60158,1,won,3427,WILLIAM LEONG JEE KEEN,1957,male,chinese
14,Selangor,P.098 Gombak,1,PARTI KEADILAN RAKYAT (PKR),75113,1,won,3428,AZMIN ALI,1965,male,bumiputera
14,Selangor,P.098 Gombak,2,PARTI ISLAM SE MALAYSIA (PAS),17537,0,lost,4168,KHAIRUL NIZAM,1980,male,bumiputera
14,Selangor,P.098 Gombak,3,BARISAN NASIONAL (BN),26392,0,lost,4169,ABDUL RAHIM KAMARUDIN,1954,male,bumiputera
14,Selangor,P.099 Ampang,1,PARTI RAKYAT MALAYSIA (PRM),294,0,lost_deposit,4170,TAN HUA MENG,1958,male,chinese
14,Selangor,P.099 Ampang,2,PARTI ISLAM SE MALAYSIA (PAS),9598,0,lost,4171,NURUL ISLAM BIN MOHAMED YUSOFF,1984,male,bumiputera
14,Selangor,P.099 Ampang,3,BARISAN NASIONAL (BN),12351,0,lost,4172,LEONG KIM SOON,1978,male,chinese
14,Selangor,P.099 Ampang,4,PARTI KEADILAN RAKYAT (PKR),54307,1,won,3431,ZURAIDA KAMARUDDIN,1958,female,bumiputera
14,Selangor,P.100 Pandan,1,PARTI ISLAM SE MALAYSIA (PAS),8336,0,lost_deposit,4173,SUKRI OMAR,1987,male,bumiputera
14,Selangor,P.100 Pandan,2,PARTI KEADILAN RAKYAT (PKR),64733,1,won,4901,DATO' SERI DR WAN AZIZAH BINTI WAN ISMAIL,1952,female,bumiputera
14,Selangor,P.100 Pandan,3,BARISAN NASIONAL (BN),12190,0,lost,4174,LEONG KOK WEE,1968,male,chinese
14,Selangor,P.100 Pandan,4,BEBAS (BEBAS),73,0,lost_deposit,4175,MOHD KHAIRUL AZAM BIN ABDUL AZIZ,1977,male,bumiputera
14,Selangor,P.100 Pandan,5,PARTI RAKYAT MALAYSIA (PRM),442,0,lost_deposit,4176,JENICE LEE YING HA,1980,female,chinese
14,Selangor,P.101 Hulu Langat,1,PARTI ISLAM SE MALAYSIA (PAS),15663,0,lost,3433,CHE ROSLI CHE MAT,1952,male,bumiputera
14,Selangor,P.101 Hulu Langat,2,PARTI KEADILAN RAKYAT (PKR),49004,1,won,4177,HASANUDDIN BIN MOHD YUNUS,1965,male,bumiputera
14,Selangor,P.101 Hulu Langat,3,BARISAN NASIONAL (BN),23580,0,lost,4178,AZMAN BIN AHMAD,1960,male,bumiputera
14,Selangor,P.102 Bangi,1,PARTI ISLAM SE MALAYSIA (PAS),33789,0,lost,4179,SHAFIE NGAH,1967,male,bumiputera
14,Selangor,P.102 Bangi,2,PARTI KEADILAN RAKYAT (PKR),102557,1,won,3783,ONG KIAN MING,1976,male,chinese
14,Selangor,P.102 Bangi,3,PARTI RAKYAT MALAYSIA (PRM),215,0,lost_deposit,4180,DENNIS WAN,1982,male,chinese
14,Selangor,P.102 Bangi,4,BARISAN NASIONAL (BN),19766,0,lost,4181,LIEW YUEN KEONG,1961,male,chinese
14,Selangor,P.103 Puchong,1,PARTI ISLAM SE MALAYSIA (PAS),10255,0,lost_deposit,4182,MOHAMAD ROSHARIZAN,1974,male,bumiputera
14,Selangor,P.103 Puchong,2,BARISAN NASIONAL (BN),12794,0,lost,4183,ANG CHIN TAT,1970,male,chinese
14,Selangor,P.103 Puchong,3,PARTI KEADILAN RAKYAT (PKR),60429,1,won,3436,GOBIND SINGH DEO,1973,male,other
14,Selangor,P.104 Subang,1,BEBAS (BEBAS),173,0,lost_deposit,3785,TOH SIN WAH,1960,male,chinese
14,Selangor,P.104 Subang,2,PARTI KEADILAN RAKYAT (PKR),104430,1,won,3786,WONG CHEN,1969,male,chinese
14,Selangor,P.104 Subang,3,BARISAN NASIONAL (BN),12077,0,lost_deposit,4184,TAN SEONG LIM,1967,male,chinese
14,Selangor,P.104 Subang,4,PARTI ISLAM SE MALAYSIA (PAS),9025,0,lost_deposit,4185,SHAHIR ADNAN,1984,male,bumiputera
14,Selangor,P.105 Petaling Jaya,1,PARTI KEADILAN RAKYAT (PKR),78984,1,won,4186,MARIA CHIN ABDULLAH,1957,female,bumiputera
14,Selangor,P.105 Petaling Jaya,2,BARISAN NASIONAL (BN),21847,0,lost,4187,CHEW HIAN TAT,1974,male,chinese
14,Selangor,P.105 Petaling Jaya,3,PARTI ISLAM SE MALAYSIA (PAS),14448,0,lost,4188,NORAINI BINTI HUSSIN,1965,female,bumiputera
14,Selangor,P.106 Damansara,1,PARTI RAKYAT MALAYSIA (PRM),617,0,lost_deposit,4189,WONG MUN KHEONG,1973,male,chinese
14,Selangor,P.106 Damansara,2,PARTI KEADILAN RAKYAT (PKR),121283,1,won,3441,TONY PUA,1973,male,bumiputera
14,Selangor,P.106 Damansara,3,BARISAN NASIONAL (BN),14380,0,lost_deposit,4190,RYAN HO KWOK XHENG,1989,male,chinese
14,Selangor,P.107 Sungai Buloh,1,BARISAN NASIONAL (BN),16681,0,lost,3793,A. PRAKASH RAO,1966,male,indian
14,Selangor,P.107 Sungai Buloh,2,PARTI KEADILAN RAKYAT (PKR),43631,1,won,3443,SIVARASA RASIAH,1957,male,indian
14,Selangor,P.107 Sungai Buloh,3,PARTI ISLAM SE MALAYSIA (PAS),16997,0,lost,3766,NURIDAH,1961,female,bumiputera
14,Selangor,P.107 Sungai Buloh,4,PARTI SOSIALIS MALAYSIA (PSM),642,0,lost_deposit,4191,ZAINURIZZAMAN BIN MOHARAM,1981,male,bumiputera
14,Selangor,P.108 Shah Alam,1,PARTI ISLAM SE MALAYSIA (PAS),15194,0,lost,4192,MOHD ZUHDI BIN MARSUKI,1971,male,bumiputera
14,Selangor,P.108 Shah Alam,2,BARISAN NASIONAL (BN),22100,0,lost,4193,AZHARI SHAARI,1970,male,bumiputera
14,Selangor,P.108 Shah Alam,3,PARTI KEADILAN RAKYAT (PKR),55949,1,won,3095,KHALID ABDUL SAMAD,1957,male,bumiputera
14,Selangor,P.109 Kapar,1,PARTI KEADILAN RAKYAT (PKR),47731,1,won,3451,ABDULLAH SANI,1962,male,bumiputera
14,Selangor,P.109 Kapar,2,PARTI RAKYAT MALAYSIA (PRM),525,0,lost_deposit,3446,MANIKAVASAGAM,1966,male,indian
14,Selangor,P.109 Kapar,3,PARTI ISLAM SE MALAYSIA (PAS),31425,0,lost,4194,ABDUL RANI BIN OSMAN,1958,male,bumiputera
14,Selangor,P.109 Kapar,4,BARISAN NASIONAL (BN),26412,0,lost,4195,MOHANA MUNIANDY,1976,female,indian
14,Selangor,P.110 Klang,1,PARTI ISLAM SE MALAYSIA (PAS),9169,0,lost_deposit,3804,KHAIRUL SHAH KOTTAPPAN,1963,male,bumiputera
14,Selangor,P.110 Klang,2,BARISAN NASIONAL (BN),19506,0,lost,4196,CHING EU BOON,1968,male,chinese
14,Selangor,P.110 Klang,3,PARTI KEADILAN RAKYAT (PKR),98279,1,won,3447,CHARLES SANTIAGO,1961,male,indian
14,Selangor,P.110 Klang,4,BEBAS (BEBAS),120,0,lost_deposit,4197,PUVANANDERAN A/L GANASAMOORTHY,1963,male,indian
14,Selangor,P.111 Kota Raja,1,PARTI ISLAM SE MALAYSIA (PAS),19555,0,lost,4198,MOHAMED DIAH BAHARUN,1965,male,bumiputera
14,Selangor,P.111 Kota Raja,2,PARTI KEADILAN RAKYAT (PKR),90697,1,won,2932,MOHAMAD SABU,1955,male,bumiputera
14,Selangor,P.111 Kota Raja,3,BARISAN NASIONAL (BN),17874,0,lost,4199,V. GUNALAN,1973,male,indian
14,Selangor,P.112 Kuala Langat,1,PARTI KEADILAN RAKYAT (PKR),43239,1,won,4200,XAVIER JAYAKUMAR,1953,male,indian
14,Selangor,P.112 Kuala Langat,2,BARISAN NASIONAL (BN),26127,0,lost,4201,SHAHRIL HAMDAN,1985,male,bumiputera
14,Selangor,P.112 Kuala Langat,3,PARTI ISLAM SE MALAYSIA (PAS),18731,0,lost,4202,YAHYA BABA,1954,male,bumiputera
14,Selangor,P.113 Sepang,1,PARTI ISLAM SE MALAYSIA (PAS),15882,0,lost,4203,SABIRIN MARSONO,1968,male,bumiputera
14,Selangor,P.113 Sepang,2,BARISAN NASIONAL (BN),28035,0,lost,4204,MARSUM BIN PAING,1955,male,bumiputera
14,Selangor,P.113 Sepang,3,PARTI KEADILAN RAKYAT (PKR),46740,1,won,2501,MOHAMED HANIPA BIN MAIDIN,1969,male,bumiputera
14,W.P. Kuala Lumpur,P.114 Kepong,1,PARTI KEADILAN RAKYAT (PKR),56516,1,won,3456,LIM LIP ENG,1972,male,chinese
14,W.P. Kuala Lumpur,P.114 Kepong,2,BARISAN NASIONAL (BN),4888,0,lost_deposit,4205,ONG SIANG LIANG,1970,male,chinese
14,W.P. Kuala Lumpur,P.115 Batu,1,BEBAS (BEBAS),383,0,lost_deposit,4206,V M PANJAMOTHY,1956,male,indian
14,W.P. Kuala Lumpur,P.115 Batu,2,BARISAN NASIONAL (BN),13687,0,lost,3811,DOMINIC LAU HOE CHAI,1968,male,chinese
14,W.P. Kuala Lumpur,P.115 Batu,3,BEBAS (BEBAS),38125,1,won,4207,PRABAKARAN PARAMESWARAN,1996,male,indian
14,W.P. Kuala Lumpur,P.115 Batu,4,PARTI ISLAM SE MALAYSIA (PAS),10610,0,lost,4208,AZHAR YAHYA,1975,male,bumiputera
14,W.P. Kuala Lumpur,P.116 Wangsa Maju,1,BARISAN NASIONAL (BN),17940,0,lost,3108,YEW TEONG LOOK,1957,male,chinese
14,W.P. Kuala Lumpur,P.116 Wangsa Maju,2,PARTI KEADILAN RAKYAT (PKR),42178,1,won,2436,TAN YEE KEW,1953,female,chinese
14,W.P. Kuala Lumpur,P.116 Wangsa Maju,3,PARTI ISLAM SE MALAYSIA (PAS),13490,0,lost,4209,RAZALI BIN TUMIRIN,1962,male,bumiputera
14,W.P. Kuala Lumpur,P.117 Segambut,1,PARTI ISLAM SE MALAYSIA (PAS),4181,0,lost_deposit,4210,SOLLEH RAZAK,1986,male,bumiputera
14,W.P. Kuala Lumpur,P.117 Segambut,2,BARISAN NASIONAL (BN),7422,0,lost_deposit,4211,LOGA BALA MOHAN,1966,male,indian
14,W.P. Kuala Lumpur,P.117 Segambut,3,PARTI KEADILAN RAKYAT (PKR),53124,1,won,4212,HANNAH YEOH,1979,female,chinese
14,W.P. Kuala Lumpur,P.118 Setiawangsa,1,PARTI KEADILAN RAKYAT (PKR),34471,1,won,4213,NIK NAZMI BIN NIK AHMAD,1982,male,bumiputera
14,W.P. Kuala Lumpur,P.118 Setiawangsa,2,PARTI ISLAM SE MALAYSIA (PAS),6282,0,lost_deposit,4214,UBAID BIN ABDUL AKLA,1988,male,bumiputera
14,W.P. Kuala Lumpur,P.118 Setiawangsa,3,BARISAN NASIONAL (BN),20099,0,lost,3457,ZULHASNAN BIN RAFIQUE,1955,male,bumiputera
14,W.P. Kuala Lumpur,P.119 Titiwangsa,1,BARISAN NASIONAL (BN),19701,0,lost,3816,JOHARI GHANI,1964,male,bumiputera
14,W.P. Kuala Lumpur,P.119 Titiwangsa,2,PARTI KEADILAN RAKYAT (PKR),23840,1,won,4215,RINA MOHD HARUN,1973,female,bumiputera
14,W.P. Kuala Lumpur,P.119 Titiwangsa,3,PARTI ISLAM SE MALAYSIA (PAS),6845,0,lost,3115,MOHAMAD NOOR MOHAMAD,1959,male,bumiputera
14,W.P. Kuala Lumpur,P.120 Bukit Bintang,1,PENANG FRONT PARTY (PFP),636,0,lost_deposit,4216,KHAIRUL,1976,male,bumiputera
14,W.P. Kuala Lumpur,P.120 Bukit Bintang,2,BARISAN NASIONAL (BN),7256,0,lost,4217,ANN TAN EAN EAN,1972,female,chinese
14,W.P. Kuala Lumpur,P.120 Bukit Bintang,3,PARTI KEADILAN RAKYAT (PKR),44516,1,won,2128,FONG KUI LUN,1946,male,chinese
14,W.P. Kuala Lumpur,P.121 Lembah Pantai,1,PARTI ISLAM SE MALAYSIA (PAS),5277,0,lost_deposit,4218,FAUZI BIN ABU BAKAR,1960,male,bumiputera
14,W.P. Kuala Lumpur,P.121 Lembah Pantai,2,BARISAN NASIONAL (BN),27715,0,lost,3820,RAJA NONG CHIK,1953,male,bumiputera
14,W.P. Kuala Lumpur,P.121 Lembah Pantai,3,PARTI KEADILAN RAKYAT (PKR),33313,1,won,4219,FAHMI FADZIL,1981,male,bumiputera
14,W.P. Kuala Lumpur,P.122 Seputeh,1,BARISAN NASIONAL (BN),7035,0,lost_deposit,4220,CHAN QUIN ER,1987,female,chinese
14,W.P. Kuala Lumpur,P.122 Seputeh,2,PARTI KEADILAN RAKYAT (PKR),63094,1,won,2769,TERESA KOK,1964,female,chinese
14,W.P. Kuala Lumpur,P.123 Cheras,1,BARISAN NASIONAL (BN),7006,0,lost_deposit,4221,HENG SINN YEE,1978,female,chinese
14,W.P. Kuala Lumpur,P.123 Cheras,2,PARTI KEADILAN RAKYAT (PKR),56671,1,won,1825,TAN KOK WAI,1957,male,chinese
14,W.P. Kuala Lumpur,P.124 Bandar Tun Razak,1,BARISAN NASIONAL (BN),21196,0,lost,4222,ADNAN BIN SEMAN,1977,male,bumiputera
14,W.P. Kuala Lumpur,P.124 Bandar Tun Razak,2,PARTI KEADILAN RAKYAT (PKR),41126,1,won,3311,KAMARUDIN JAFFAR,1952,male,bumiputera
14,W.P. Kuala Lumpur,P.124 Bandar Tun Razak,3,PARTI ISLAM SE MALAYSIA (PAS),7884,0,lost_deposit,4223,ROSNI ADAM,1971,female,bumiputera
14,W.P. Putrajaya,P.125 Putrajaya,1,BARISAN NASIONAL (BN),12148,1,won,3468,TENGKU ADNAN BIN TENGKU MANSOR,1951,male,bumiputera
14,W.P. Putrajaya,P.125 Putrajaya,2,PARTI ISLAM SE MALAYSIA (PAS),3634,0,lost,4224,ZAINAL ABIDIN KIDAM,1950,male,bumiputera
14,W.P. Putrajaya,P.125 Putrajaya,3,PARTI KEADILAN RAKYAT (PKR),8776,0,lost,4225,SAMSU ADABI BIN MAMAT,1969,male,bumiputera
14,Negeri Sembilan,P.126 Jelebu,1,PARTI KEADILAN RAKYAT (PKR),17017,0,lost,4226,MUSTAFAR KADIR,1953,male,bumiputera
14,Negeri Sembilan,P.126 Jelebu,2,BARISAN NASIONAL (BN),19062,1,won,4227,JALALUDDIN BIN ALIAS,1963,male,bumiputera
14,Negeri Sembilan,P.126 Jelebu,3,PARTI ISLAM SE MALAYSIA (PAS),2878,0,lost_deposit,3469,NORMAN IPIN,1972,male,bumiputera
14,Negeri Sembilan,P.127 Jempol,1,PARTI KEADILAN RAKYAT (PKR),25188,0,lost,4228,KAMARULZAMAN KAMDIAS,1966,male,bumiputera
14,Negeri Sembilan,P.127 Jempol,2,PARTI ISLAM SE MALAYSIA (PAS),5267,0,lost_deposit,4229,MUSTAFFA BIN DAHARUN,1958,male,bumiputera
14,Negeri Sembilan,P.127 Jempol,3,BARISAN NASIONAL (BN),26819,1,won,4230,SALIM SHARIF,1965,male,bumiputera
14,Negeri Sembilan,P.128 Seremban,1,BARISAN NASIONAL (BN),24809,0,lost,4231,AH CHONG @ CHONG SIN WOON,1975,male,chinese
