ge,state,parlimen,ballot_order,party,votes,result,result_desc,uid,name,birth_year,sex,ethnicity
12,Terengganu,P.033 Besut,2,PARTI ISLAM SE MALAYSIA (PAS),18786,0,lost,2339,HUSAIN BIN AWANG,1947,male,bumiputera
12,Terengganu,P.034 Setiu,1,PARTI ISLAM SE MALAYSIA (PAS),19378,0,lost,3337,MOHD PAUZI BIN MUDA,1958,male,bumiputera
12,Terengganu,P.034 Setiu,2,BARISAN NASIONAL (BN),26610,1,won,3338,MOHD JIDIN BIN SHAFEE,1955,male,bumiputera
12,Terengganu,P.035 Kuala Nerus,1,PARTI ISLAM SE MALAYSIA (PAS),25098,0,lost,3339,SHUKRIMUN BIN SHAMSUDIN,1960,male,bumiputera
12,Terengganu,P.035 Kuala Nerus,2,BARISAN NASIONAL (BN),26439,1,won,3340,MOHD NASIR B. TAN IBRAHIM FIKRI,1957,male,bumiputera
12,Terengganu,P.036 Kuala Terengganu,1,PARTI ISLAM SE MALAYSIA (PAS),31934,0,lost,2932,MOHAMAD SABU,1955,male,bumiputera
12,Terengganu,P.036 Kuala Terengganu,2,BEBAS (BEBAS),685,0,lost_deposit,3341,MAIMUN BINTI YUSUF,1920,female,bumiputera
12,Terengganu,P.036 Kuala Terengganu,3,BARISAN NASIONAL (BN),32562,1,won,3342,RAZALI BIN ISMAIL,1950,male,bumiputera
12,Terengganu,P.037 Marang,1,BARISAN NASIONAL (BN),30688,0,lost,3343,AHMAD RAMZI BIN MOHAMAD ZUBIR,1973,male,bumiputera
12,Terengganu,P.037 Marang,2,PARTI ISLAM SE MALAYSIA (PAS),33435,1,won,1712,TUAN GURU HJ. ABDUL HADI BIN AWANG,1947,male,bumiputera
12,Terengganu,P.038 Hulu Terengganu,1,PARTI ISLAM SE MALAYSIA (PAS),17324,0,lost,3344,KAMARUZAMAN BIN ABDULLAH,1977,male,bumiputera
12,Terengganu,P.038 Hulu Terengganu,2,BARISAN NASIONAL (BN),27784,1,won,3345,MOHD. NOOR BIN OTHMAN,1953,male,bumiputera
12,Terengganu,P.039 Dungun,1,BARISAN NASIONAL (BN),29264,1,won,3346,MATULIDI BIN JUSOH,1958,male,bumiputera
12,Terengganu,P.039 Dungun,2,PARTI KEADILAN RAKYAT (PKR),24270,0,lost,3142,SHAMSUL ISKANDAR HAJI MOHD AKIN,1975,male,bumiputera
12,Terengganu,P.040 Kemaman,1,BARISAN NASIONAL (BN),37199,1,won,2986,AHMAD SHABERY CHEEK,1959,male,bumiputera
12,Terengganu,P.040 Kemaman,2,PARTI KEADILAN RAKYAT (PKR),24516,0,lost,3347,FARIZ MUSA,1970,male,bumiputera
12,Pulau Pinang,P.041 Kepala Batas,1,BARISAN NASIONAL (BN),23445,1,won,2655,ABDULLAH BIN AHMAD BADAWI,1940,male,bumiputera
12,Pulau Pinang,P.041 Kepala Batas,2,PARTI ISLAM SE MALAYSIA (PAS),12199,0,lost,3348,SUBRI ARSHAD,1964,male,bumiputera
12,Pulau Pinang,P.042 Tasek Gelugor,1,PARTI ISLAM SE MALAYSIA (PAS),15901,0,lost,3349,CIK GU ISMAIL SALLEH,1945,male,bumiputera
12,Pulau Pinang,P.042 Tasek Gelugor,2,BARISAN NASIONAL (BN),20448,1,won,3350,NOR MOHAMED YAKCOP,1948,male,bumiputera
12,Pulau Pinang,P.043 Bagan,1,PARTI TINDAKAN DEMOKRATIK (DAP),33748,1,won,1839,LIM GUAN ENG,1961,male,chinese
12,Pulau Pinang,P.043 Bagan,2,BARISAN NASIONAL (BN),11678,0,lost,3351,SONG CHOY LENG,1973,female,chinese
12,Pulau Pinang,P.044 Permatang Pauh,1,BARISAN NASIONAL (BN),16950,0,lost,3352,PIRDAUS BIN ISMAIL,1966,male,bumiputera
12,Pulau Pinang,P.044 Permatang Pauh,2,PARTI KEADILAN RAKYAT (PKR),30348,1,won,4901,DATO' SERI DR WAN AZIZAH BINTI WAN ISMAIL,1952,female,bumiputera
12,Pulau Pinang,P.045 Bukit Mertajam,1,BARISAN NASIONAL (BN),11985,0,lost,3353,ONG TANG CHUAN,1979,male,chinese
