kod_kawasan,kawasan,nama,parti,negeri,vol
P023,Tanah Merah,Hussein Mahmood,BN (UMNO),Kelantan,6
P024,Machang,Mohd. Kassim Ahmed,BN (UMNO),Kelantan,6
P025,Pasir Puteh,Wan Mohd. Najib Wan Mohamed,BN (UMNO),Kelantan,6
P026,Kuala Krai,Nik Hussein Wan Abdul Rahman,BN (UMNO),Kelantan,6
P027,Ulu Kelantan,Tengku Razaleigh Hamzah,BN (UMNO),Kelantan,6
P028,Besut,Zakaria Abdul Rahman,BN (UMNO),Terengganu,6
P029,Ulu Nerus,Ghazali Abdul Rahman,BN (UMNO),Terengganu,6
P030,Ulu Trengganu,Alias Md. Ali,BN (UMNO),Terengganu,6
P031,Kuala Nerus,Ibrahim Azmi Hassan,BN (UMNO),Terengganu,6
P032,Kuala Trengganu,Abdul Manan Othman,BN (UMNO),Terengganu,6
P033,Dungun,Awang Jabar,BN (UMNO),Terengganu,6
P034,Kemaman,Ismail Said,BN (UMNO),Terengganu,6
P035,Kepala Batas,Abdullah Ahmad Badawi,BN (UMNO),Pulau Pinang,6
P036,Mata Kuching,Ling Liong Sik,BN (MCA),Pulau Pinang,6
P037,Permatang Pauh,Anwar Ibrahim,BN (UMNO),Pulau Pinang,6
P038,Bukit Mertajam,Seow Hun Khim,BN (MCA),Pulau Pinang,6
P039,Nibong Tebal,Goh Cheng Teik,BN (Gerakan),Pulau Pinang,6
P040,Balik Pulau,Shamsuri Md. Salleh,BN (UMNO),Pulau Pinang,6
P041,Bukit Bendera,Gooi Hock Seng,DAP,Pulau Pinang,6
P042,Tanjong,Koh Tsu Koon,BN (Gerakan),Pulau Pinang,6
P043,Jelutong,Karpal Singh,DAP,Pulau Pinang,6
P044,Gerik,Tajol Rosli Mohd Ghazali,BN (UMNO),Perak,6
P045,Larut,Kamaruddin Mohamed Isa,BN (UMNO),Perak,6
P046,Parit Buntar,Abdul Rahman Suliman,BN (UMNO),Perak,6
P047,Bagan Serai,Zainal Abidin Zin,BN (UMNO),Perak,6
P048,Sungei Siput,Samy Vellu,BN (MIC),Perak,6
P049,Taiping,Paul Leong Khee Seong,BN (Gerakan),Perak,6
P050,Matang,Mohamad Razlan Abdul Hamid,BN (UMNO),Perak,6
P051,Padang Rengas,Saidin Mat Piah,BN (UMNO),Perak,6
P052,Kuala Kangsar,Rafidah Aziz,BN (UMNO),Perak,6
P053,Kinta,Lim Liang Seng,BN (MCA),Perak,6
P054,Ipoh,Peter Chin Gan Oon,BN (MCA),Perak,6
P055,Menglembu,Yew Foo Weng,BN (MCA),Perak,6
P056,Bruas,Michael Chen Wing Sum,BN (Gerakan),Perak,6
P057,Parit,Ahmed Hambal Yeop Majlis,BN (UMNO),Perak,6
P058,Batu Gajah,Ban Hon Keong,BN (MCA),Perak,6
P059,Batang Padang,Azharul Abidin Abdul Rahim,BN (UMNO),Perak,6
P060,Lumut,Ng Cheng Kuai,BN (MCA),Perak,6
P061,Hilir Perak,Megat Junid Megat Ayub,BN (UMNO),Perak,6
P062,Telok Anson,Au How Cheong,BN (Gerakan),Perak,6
P063,Tanjong Malim,Mak Hon Kam,BN (MCA),Perak,6
P064,Bagan Datok,Yahya Zakaria,BN (UMNO),Perak,6
P065,Lipis,Ghazali Shafie,BN (UMNO),Pahang,6
P066,Jerantut,Wan Abu Bakar Wan Mohamad,BN (UMNO),Pahang,6
P067,Kuantan,Abdul Rahim Abu Bakar,BN (UMNO),Pahang,6
P068,Raub,Tan Tiong Hong,BN (MCA),Pahang,6
P069,Maran,Mohd Khalil Yaakob,BN (UMNO),Pahang,6
P070,Bentong,Chan Siang Sun,BN (MCA),Pahang,6
P071,Pekan,Mohamed Amin Daud,BN (UMNO),Pahang,6
P072,Temerloh,Sabbaruddin Chik,BN (UMNO),Pahang,6
P073,Sabak Bernam,Jamaluddin Suhaimi,BN (UMNO),Selangor,6
P074,Tanjong Karang,Zaleha Ismail,BN (UMNO),Selangor,6
P075,Ulu Selangor,Lee Kim Sai,BN (MCA),Selangor,6
P076,Kuala Selangor,Abu Hassan Omar,BN (UMNO),Selangor,6
P077,Selayang,Rahmah Othman,BN (UMNO),Selangor,6
P078,Ulu Langat,Rosemary Chow Poh Kheng,BN (MCA),Selangor,6
P079,Pelabuhan Kelang,V. Govindaraj,BN (MIC),Selangor,6
P080,Shah Alam,Lew Sip Hon,BN (MCA),Selangor,6
P081,Petaling,Yeoh Poh San,BN (MCA),Selangor,6
P082,Kuala Langat,Aishah Ghani,BN (UMNO),Selangor,6
P083,Sepang,Suhaimi Kamaruddin,BN (UMNO),Selangor,6
P084,Kepong,Tan Seng Giaw,DAP,Wilayah Persekutuan Kuala Lumpur,6
P085,Setapak,Mohammad Idris Mohammad Basari,BN (UMNO),Wilayah Persekutuan Kuala Lumpur,6
P086,Damansara,Tan Koon Swan,BN (MCA),Wilayah Persekutuan Kuala Lumpur,6
P087,Kuala Lumpur Bandar,Lee Lam Thye,DAP,Wilayah Persekutuan Kuala Lumpur,6
P088,Sungei Besi,Chan Kok Kit,DAP,Wilayah Persekutuan Kuala Lumpur,6
P089,Jelebu,Rais Yatim,BN (UMNO),Negeri Sembilan,6
P090,Mantin,Lee Boon Peng,BN (MCA),Negeri Sembilan,6
P091,Seremban,Chen Man Hin from 19 November 1983[N 4],DAP,Negeri Sembilan,6
P091,Seremban,Lee San Choon until 17 September 1983,BN (MCA),Negeri Sembilan,6
P092,Kuala Pilah,Napsiah Omar,BN (UMNO),Negeri Sembilan,6
P093,Telok Kemang,K. Pathmanaban,BN (MIC),Negeri Sembilan,6
P094,Tampin,Omar Abdullah from 24 September 1983[N 5],BN (UMNO),Negeri Sembilan,6
P094,Tampin,Mokhtar Hashim until 1 August 1983,BN (UMNO),Negeri Sembilan,6
P095,Alor Gajah,Mohd. Adib Mohd. Adam,BN (UMNO),Melaka,6
P096,Jasin,Abdul Ghafar Baba,BN (UMNO),Melaka,6
P097,Batu Berendam,Chong Hon Nyan,BN (MCA),Melaka,6
P098,Kota Melaka,Lim Kit Siang,DAP,Melaka,6
P099,Labis,Bahari Haron,BN (UMNO),Johor,6
P100,Segamat,Subramaniam Sinniah,BN (MIC),Johor,6
P101,Kluang,Quah Wee Liam,BN (MCA),Johor,6
P102,Tenggaroh,Khadri Sabran,BN (UMNO),Johor,6
P103,Ledang,Ngah Abdul Rahman,BN (UMNO),Johor,6
P104,Pagoh,Muhyiddin Yassin,BN (UMNO),Johor,6
P105,Ayer Hitam,Hee Tien Lai[N 6] (Deputy Speaker),BN (MCA),Johor,6
P106,Muar,Neo Yee Pan,BN (MCA),Johor,6
P107,Renggam,Chin Hon Ngian,BN (MCA),Johor,6
P108,Panti,Musa Hitam,BN (UMNO),Johor,6
P109,Sri Gading,Mustaffa Mohammad,BN (UMNO),Johor,6
P110,Semerah,Shariffah Dora Syed Mohammed,BN (UMNO),Johor,6
P111,Batu Pahat,Daud Taha,BN (UMNO),Johor,6
P112,Pontian,Mokhtaram Rabidin,BN (UMNO),Johor,6
P113,Pulai,Mohamed Rahmat,BN (UMNO),Johor,6
P114,Johore Bahru,Shahrir Abdul Samad,BN (UMNO),Johor,6
P115,Marudu,Affendy Mohd. Fuad Stephens,IND,Sabah,6
P116,Bandau,Newman Gaban,BN (BERJAYA),Sabah,6
P117,Kota Belud,Mohammad Yahya Lampong,IND,Sabah,6
P118,Labuk-Sugut,Hassan Alban Sandukong,IND,Sabah,6
P119,Tuaran,James Peter Ongkili,BN (BERJAYA),Sabah,6
P120,Kinabalu,Mark Koding,BN (BERJAYA),Sabah,6
P121,Gaya,William Lye Chee Hien,BN (BERJAYA),Sabah,6
P122,Penampang,Clarence E. Mansul,BN (BERJAYA),Sabah,6
P123,Sandakan,Fung Ket Wing,DAP,Sabah,6
P124,Kinabatangan,Abdul Ghani Misbah,BN (BERJAYA),Sabah,6
P125,Kimanis,Pengiran Othman Pengiran Rauf,BN (BERJAYA),Sabah,6
P126,Hilir Padas,Mohammed Yussof Yakob,IND,Sabah,6
P127,Keningau,Ahmad Shah Hussein Tambakau,BN (BERJAYA),Sabah,6
P128,Silam,Abdillah Abdul Hamid,IND,Sabah,6
P129,Ulu Padas,Kadoh Agundong from 12 October 1985[N 7],PBS,Sabah,6
P129,Ulu Padas,Harris Salleh until 1985,BN (BERJAYA),Sabah,6
P130,Tawau,Kan Yau Fa,BN (BERJAYA),Sabah,6
P131,Mas Gading,Patrick Uren,IND,Sarawak,6
P132,Bandar Kuching,Sim Kwang Yang,DAP,Sarawak,6
P133,Santubong,Sulaiman Daud,BN (PBB),Sarawak,6
P134,Samarahan,Abdul Taib Mahmud,BN (PBB),Sarawak,6
P135,Padawan,Stephen Yong Kuet Tze,BN (SUPP),Sarawak,6
P136,Serian,Richard Damping Laki,BN (SUPP),Sarawak,6
P137,Simunjan,Bujang Ulis,BN (PBB),Sarawak,6
P138,Batang Lupar,Edwin Tangkun,IND,Sarawak,6
P139,Lubok Antu,Andrew Janggi Muyang,BN (SNAP),Sarawak,6
P140,Betong,Alfred Jabu Numpang,BN (PBB),Sarawak,6
P141,Saratok,Edmund Langgu Saga,IND,Sarawak,6
P142,Paloh,Abang Abu Bakar Abang Mustapha,BN (PBB),Sarawak,6
P143,Sarikei,Law Hieng Ding,BN (SUPP),Sarawak,6
P144,Sibu,Ling Sie Ming,DAP,Sarawak,6
P145,Rajang,Jawan Empaling,BN (SUPP),Sarawak,6
P146,Mukah,Leo Michael Toyad,BN (PBB),Sarawak,6
P147,Julau,Thomas Salang Siden,BN (SNAP),Sarawak,6
P148,Kanowit,Leo Moggie Irok,BN (SNAP),Sarawak,6
P149,Kapit,Leonard Linggi Jugah,BN (PBB),Sarawak,6
P150,Ulu Rajang,Justine Jinggot,BN (SNAP),Sarawak,6
P151,Bintulu,Ting Ling Kiew,BN (SNAP),Sarawak,6
P152,Lambir,George Chan Hong Nam,BN (SUPP),Sarawak,6
P153,Baram,Luhat Wan,BN (SNAP),Sarawak,6
P154,Bukit Mas,Mutang Tagal,BN (PBB),Sarawak,6
P001,Kangar,Mohd Radzi Sheikh Ahmad,BN (UMNO),Perlis,7
P002,Arau,Shahidan Kassim,BN (UMNO),Perlis,7
P003,Jerlun-Langkawi,Sanusi Junid,BN (UMNO),Kedah,7
P004,Kubang Pasu,Mahathir Mohamad,BN (UMNO),Kedah,7
P005,Padang Terap,Affifudin Omar,BN (UMNO),Kedah,7
P006,Kota Setar,Abdul Hadi Derani,BN (UMNO),Kedah,7
P007,Alor Setar,Oo Gin Sun,BN (MCA),Kedah,7
P008,Kuala Kedah,Mohammad Abu Bakar Rautin Ibrahim,BN (UMNO),Kedah,7
P009,Pendang,Othman Abdul,BN (UMNO),Kedah,7
P010,Jerai,Ghazali Ahmad,BN (UMNO),Kedah,7
P011,Merbok,Abdul Daim Zainuddin,BN (UMNO),Kedah,7
P012,Sik,Zainol Abidin Johari,BN (UMNO),Kedah,7
P013,Baling,Raja Ariffin Raja Sulaiman,BN (UMNO),Kedah,7
P014,Sungai Petani,Abdul Manaf Ahmad,BN (UMNO),Kedah,7
P015,Padang Serai,Chew Kam Hoy,BN (MCA),Kedah,7
P016,Kulim-Bandar Baharu,Abdul Kadir Sheikh Fadzir,BN (UMNO),Kedah,7
P017,Tumpat,Dusuki Ahmad,BN (UMNO),Kelantan,7
P018,Pengkalan Chepa,Nik Abdullah Arshad,PAS,Kelantan,7
P019,Kota Bharu,Tengku Ahmad Rithauddeen Tengku Ismail,BN (UMNO),Kelantan,7
P020,Pasir Mas,Ibrahim Ali,BN (UMNO),Kelantan,7
P021,Rantau Panjang,Mohamed Yaacob,BN (UMNO),Kelantan,7
P022,Nilam Puri,Mohamed Ali,BN (UMNO),Kelantan,7
P023,Bachok,Mohd Zain Abdullah,BN (HAMIM),Kelantan,7
P024,Pasir Puteh,Wan Omar Wan Majid,BN (UMNO),Kelantan,7
P025,Kok Lanas,Abdullah Ahmad,BN (UMNO),Kelantan,7
P026,Tanah Merah,Hashim Safin,BN (UMNO),Kelantan,7
P027,Machang,Mohd. Kassim Ahmed,BN (UMNO),Kelantan,7
P028,Kuala Krai,Mohamed Isa,BN (UMNO),Kelantan,7
P029,Gua Musang,Tengku Razaleigh Hamzah,BN (UMNO),Kelantan,7
P030,Besut,Zakaria Abdul Rahman,BN (UMNO),Terengganu,7
P031,Setiu,Mohamed Yusof Mohamed Noor,BN (UMNO),Terengganu,7
P032,Kuala Nerus,Ibrahim Azmi Hassan,BN (UMNO),Terengganu,7
P033,Kuala Terengganu,Zubir Embong,BN (UMNO),Terengganu,7
P034,Marang,Abdul Rahman Bakar,BN (UMNO),Terengganu,7
P035,Hulu Terengganu,Alias Md. Ali,BN (UMNO),Terengganu,7
P036,Dungun,Awang Jabar,BN (UMNO),Terengganu,7
P037,Kemaman,Ismail Said,BN (UMNO),Terengganu,7
P038,Kepala Batas,Abdullah Ahmad Badawi,BN (UMNO),Pulau Pinang,7
P039,Tasek Gelugor,Mohammed Yusoff Abdul Latib,BN (UMNO),Pulau Pinang,7
P040,Bagan,Teoh Teik Huat,DAP,Pulau Pinang,7
P041,Permatang Pauh,Anwar Ibrahim,BN (UMNO),Pulau Pinang,7
P042,Bukit Mertajam,Chian Heng Kai,DAP,Pulau Pinang,7
P043,Nibong Tebal,Goh Cheng Teik,BN (Gerakan),Pulau Pinang,7
P044,Bukit Bendera,Gooi Hock Seng,DAP,Pulau Pinang,7
P045,Tanjong,Lim Kit Siang,DAP,Pulau Pinang,7
P046,Jelutong,Karpal Singh,DAP,Pulau Pinang,7
P047,Bayan Baru,Peter Paul Dason,DAP,Pulau Pinang,7
P048,Balik Pulau,Mohamad Subky Abdul Raof,BN (UMNO),Pulau Pinang,7
P049,Gerik,Mohd Tajol Rosli Mohd Ghazali,BN (UMNO),Perak,7
P050,Larut,Mohd Zihin Mohd Hassan,BN (UMNO),Perak,7
P051,Parit Buntar,Abdul Raman Suliman,BN (UMNO),Perak,7
P052,Bagan Serai,Zainal Abidin Zin,BN (UMNO),Perak,7
P053,Bukit Gantang,Abdullah Fadzil Che Wan,BN (UMNO),Perak,7
P054,Taiping,Paul Leong Khee Seong,BN (Gerakan),Perak,7
P055,Tasek Chenderoh,Saidin Mat Piah,BN (UMNO),Perak,7
P056,Sungai Siput,Samy Vellu,BN (MIC),Perak,7
P057,Tambun,Yahaya Mohd. Shafie,BN (UMNO),Perak,7
P058,Pasir Pinji,Lau Dak Kee,DAP,Perak,7
P059,Ipoh,P. Patto,DAP,Perak,7
P060,Batu Gajah,Ting Chek Ming,DAP,Perak,7
P061,Kuala Kangsar,Rafidah Aziz,BN (UMNO),Perak,7
P062,Beruas,Lim Keng Yaik,BN (Gerakan),Perak,7
P063,Parit,Nasruddin Alang Saidin,BN (UMNO),Perak,7
P064,Gopeng,Ting Chew Peh dari 16 Mei 1987[N 1],BN (MCA),Perak,7
P064,Gopeng,Tan Koon Swan sehingga 3 April 1987,BN (MCA),Perak,7
P065,Kampar,Ngoi Thiam Woh,DAP,Perak,7
P066,Tapah,M. G. Pandithan,BN (MIC),Perak,7
P067,Pasir Salak,Megat Junid Megat Ayub,BN (UMNO),Perak,7
P068,Lumut,Ng Cheng Kuai,BN (MCA),Perak,7
P069,Bagan Datok,Mohamed Jamrah,BN (UMNO),Perak,7
P070,Telok Intan,Ong Tin Kim,BN (Gerakan),Perak,7
P071,Tanjong Malim,Loke Yuen Yow,BN (MCA),Perak,7
P072,Lipis,Wang Choon Wing,BN (MCA),Pahang,7
P073,Raub,Teng Gaik Kwan,BN (MCA),Pahang,7
P074,Jerantut,Wan Abu Bakar Wan Mohamad,BN (UMNO),Pahang,7
P075,Kuantan,Adam Abdul Kadir,BN (UMNO),Pahang,7
P076,Pekan,Najib Razak,BN (UMNO),Pahang,7
P077,Maran,Muhammad Abdullah,BN (UMNO),Pahang,7
P078,Mentakab,Siti Zaharah Sulaiman,BN (UMNO),Pahang,7
P079,Bentong,Lim Ah Lek dari 13 Mei 1989[N 2],BN (MCA),Pahang,7
P079,Bentong,Chan Siang Sun sehingga 21 Mac 1989,BN (MCA),Pahang,7
P080,Temerloh,Sabbaruddin Chik,BN (UMNO),Pahang,7
P081,Rompin,Mohamed Amin Daud (Timbalan Speaker),BN (UMNO),Pahang,7
P082,Sabak Bernam,Hussein Taib,BN (UMNO),Selangor,7
P083,Tanjong Karang,Kamaruzaman Ahmad,BN (UMNO),Selangor,7
P084,Hulu Selangor,Subramaniam Sinniah,BN (MIC),Selangor,7
P085,Kuala Selangor,Abu Hassan Omar,BN (UMNO),Selangor,7
P086,Kapar,D. P. Vijandran[N 3] (Timbalan Speaker),BN (MIC),Selangor,7
P087,Selayang,Zaleha Ismail,BN (UMNO),Selangor,7
P088,Ampang Jaya,Ong Tee Keat dari 28 Januari 1989[N 4][N 5] (Timbalan Speaker),BN (MCA),Selangor,7
P088,Ampang Jaya,Lim Ann Koon sehingga 9 Disember 1988,BN (MCA),Selangor,7
P089,Hulu Langat,Lee Kim Sai,BN (MCA),Selangor,7
P090,Petaling Jaya,Eng Seng Chai,DAP,Selangor,7
P091,Puchong,V. David,DAP,Selangor,7
P092,Shah Alam,Rahmah Othman,BN (UMNO),Selangor,7
P093,Klang,Ng Cheng Kiat,BN (MCA),Selangor,7
P094,Kuala Langat,Basri Bajuri,BN (UMNO),Selangor,7
P095,Sepang,Mohd. Sharif Jajang,BN (UMNO),Selangor,7
P096,Kepong,Tan Seng Giaw,DAP,Wilayah Persekutuan Kuala Lumpur,7
P097,Batu,Alexander Lee Yu Lung,BN (Gerakan),Wilayah Persekutuan Kuala Lumpur,7
P098,Titiwangsa,Suleiman Mohamed,BN (UMNO),Wilayah Persekutuan Kuala Lumpur,7
P099,Bukit Bintang,Lee Lam Thye,DAP,Wilayah Persekutuan Kuala Lumpur,7
P100,Lembah Pantai,Abdul Razak Abu Samah,BN (UMNO),Wilayah Persekutuan Kuala Lumpur,7
P101,Seputeh,Liew Ah Kim,DAP,Wilayah Persekutuan Kuala Lumpur,7
P102,Sungai Besi,Tan Kok Wai,DAP,Wilayah Persekutuan Kuala Lumpur,7
P103,Jelebu,Rais Yatim,BN (UMNO),Negeri Sembilan,7
P104,Jempol,Mohd. Khalid Mohd. Yunus,BN (UMNO),Negeri Sembilan,7
P105,Tampin,Mohd Noh Rajab,BN (UMNO),Negeri Sembilan,7
P106,Kuala Pilah,Napsiah Omar,BN (UMNO),Negeri Sembilan,7
P107,Seremban,Chen Man Hin,DAP,Negeri Sembilan,7
P108,Rasah,Hu Sepang,DAP,Negeri Sembilan,7
P109,Telok Kemang,K. Pathmanaban,BN (MIC),Negeri Sembilan,7
P110,Alor Gajah,Mohd. Adib Mohd. Adam,BN (UMNO),Melaka,7
P111,Selandar,Kok Wee Kiat,BN (MCA),Melaka,7
P112,Batu Berendam,Mohd. Tamrin Abdul Ghafar,BN (UMNO),Melaka,7
P113,Kota Melaka,Lim Guan Eng,DAP,Melaka,7
P114,Jasin,Abdul Ghafar Baba,BN (UMNO),Melaka,7
P115,Segamat,Subramaniam Sinniah,BN (MIC),Johor,7
P116,Ledang,Abdul Ghani Othman,BN (UMNO),Johor,7
P117,Pagoh,Ahmad Omar,BN (UMNO),Johor,7
P118,Labis,Ling Liong Sik,BN (MCA),Johor,7
P119,Mersing,Abdul Ajib Ahmad,BN (UMNO),Johor,7
P120,Kluang,Ling Chooi Sieng,BN (MCA),Johor,7
P121,Parit Sulong,Shariffah Dora Syed Mohammed,BN (UMNO),Johor,7
P122,Bakri,Chua Jui Meng,BN (MCA),Johor,7
P123,Muar,Mohamed Sam Sailan,BN (UMNO),Johor,7
P124,Sri Gading,Mustaffa Mohammad,BN (UMNO),Johor,7
P125,Batu Pahat,Daud Taha,BN (UMNO),Johor,7
P126,Sungai Benut,Mohamed Tawfik Ismail,BN (UMNO),Johor,7
P127,Senai,Woon See Chin,BN (MCA),Johor,7
P128,Kota Tinggi,Musa Hitam,BN (UMNO),Johor,7
P129,Tebrau,Siti Zainabon Abu Bakar,BN (UMNO),Johor,7
P130,Johor Bahru,"Shahrir Abdul Samad bertanding semula, menang pada 25 Ogos 1988[N 6]",BN (UMNO),Johor,7
P130,Johor Bahru,"Shahrir Abdul Samad bertanding semula, menang pada 25 Ogos 1988[N 6]",IND,Johor,7
P131,Pulai,Mohamed Rahmat,BN (UMNO),Johor,7
P132,Pontian,Law Lai Heng,BN (MCA),Johor,7
P133,Labuan,Abdol Mulok Awang Damit,IND,Wilayah Persekutuan Labuan,7
P134,Marudu,Joe Ojihi Supiring,IND,Sabah,7
P135,Bandau,Henry Madatang Morejal,BN (PBS),Sabah,7
P136,Kota Belud,Maidom Pansai,BN (PBS),Sabah,7
P137,Tuaran,Kalakau Untol,BN (USNO),Sabah,7
P138,Kinabalu,Kasitah Gaddam,BN (USNO),Sabah,7
P139,Jambongan,Metah Asang,BN (PBS),Sabah,7
P140,Sandakan,Fung Ket Wing,DAP,Sabah,7
P141,Kinabatangan,Pitting Mohd. Ali,BN (USNO),Sabah,7
P142,Keningau,Joseph Pairin Kitingan,BN (PBS),Sabah,7
P143,Penampang,Bernard Giluk Dompok,BN (PBS),Sabah,7
P144,Gaya,Gerard Math Lee Min,DAP,Sabah,7
P145,Tanjong Aru,Hsing Yin Shean,DAP,Sabah,7
P146,Papar,Osu Sukam,BN (USNO),Sabah,7
P147,Kimanis,Nurnikman Abdullah,BN (USNO),Sabah,7
P148,Limbawang,Mustapha Harun dari 18 April 1987[N 7],BN (USNO),Sabah,7
P148,Limbawang,Abdul Hamid Mustapha sehingga 21 Februari 1987,BN (USNO),Sabah,7
P149,Padas,Kadoh Agundong,BN (PBS),Sabah,7
P150,Pensiangan,Taimin Lumaing,BN (PBS),Sabah,7
P151,Tawau,Samson Chin Chee Tsu,DAP,Sabah,7
P152,Silam,Railey Jeffrey,BN (USNO),Sabah,7
P153,Semporna,Sakaran Dandai,BN (USNO),Sabah,7
P154,Mas Gading,Patau Rubis,BN (SNAP),Sarawak,7
P155,Bandar Kuching,Sim Kwang Yang,DAP,Sarawak,7
P156,Santubong,Sulaiman Daud,BN (PBB),Sarawak,7
P157,Samarahan,Abdul Taib Mahmud,BN (PBB),Sarawak,7
P158,Padawan,Stephen Yong Kuet Tze,BN (SUPP),Sarawak,7
P159,Serian,Lainus Andrew Luwak,IND,Sarawak,7
P160,Simunjan,Bujang Ulis,BN (PERMAS),Sarawak,7
P161,Batang Lupar,Daniel Tajem Miri,BN (PBDS),Sarawak,7
P162,Lubok Antu,Jawah Gerang dari 4 April 1987[N 8],BN (PBDS),Sarawak,7
P162,Lubok Antu,Andrew Janggi Muyang sehingga 9 Februari 1987,BN (PBDS),Sarawak,7
P163,Betong,Douglas Uggah Embas,BN (PBB),Sarawak,7
P164,Saratok,Peter Tinggom Kamarau,BN (SNAP),Sarawak,7
P165,Paloh,Abang Abu Bakar Abang Mustapha,BN (PBB),Sarawak,7
P166,Sarikei,Law Hieng Ding,BN (SUPP),Sarawak,7
P167,Sibu,Tieu Sung Seng,BN (SUPP),Sarawak,7
P168,Rajang,Nicholas Munong Ibau,IND,Sarawak,7
P169,Mukah,Leo Michael Toyad,BN (PBB),Sarawak,7
P170,Julau,Thomas Salang Siden,BN (PBDS),Sarawak,7
P171,Kanowit,Leo Moggie Irok,BN (PBDS),Sarawak,7
P172,Kapit,James Jimbun Pungga,BN (PBB),Sarawak,7
P173,Ulu Rajang,Justine Jinggot,BN (SNAP),Sarawak,7
P174,Bintulu,Ting Ling Kiew,BN (SNAP),Sarawak,7
P175,Lambir,Peter Chin Fah Kui,BN (SUPP),Sarawak,7
P176,Baram,Luhat Wan,BN (SNAP),Sarawak,7
P177,Bukit Mas,Mutang Tagal,BN (PBB),Sarawak,7
P001,Kangar,Ishak Arshad,BN (UMNO),Perlis,8
P002,Arau,Shahidan Kassim,BN (UMNO),Perlis,8
P003,Jerlun-Langkawi,Sanusi Junid,BN (UMNO),Kedah,8
P004,Kubang Pasu,Mahathir Mohamad,BN (UMNO),Kedah,8
P005,Padang Terap,Affifudin Omar,BN (UMNO),Kedah,8
P006,Kota Setar,Wan Hanafiah Wan Mat Saman,BN (UMNO),Kedah,8
P007,Alor Setar,Chor Chee Heung,BN (MCA),Kedah,8
P008,Kuala Kedah,Mohammad Abu Bakar Rautin Ibrahim,BN (UMNO),Kedah,8
P009,Pendang,Othman Abdul,BN (UMNO),Kedah,8
P010,Jerai,Badruddin Amiruldin dari 4 Mac 1992[N 1],BN (UMNO),Kedah,8
P010,Jerai,Ghazali Ahmad hingga 1992,BN (UMNO),Kedah,8
P011,Merbok,Abdul Daim Zainuddin,BN (UMNO),Kedah,8
P012,Sik,Abdul Hamid Othman,BN (UMNO),Kedah,8
P013,Baling,Raja Ariffin Raja Sulaiman,BN (UMNO),Kedah,8
P014,Sungai Petani,Che Ibrahim Mustafa,BN (UMNO),Kedah,8
P015,Padang Serai,Lim Lay Hoon,BN (MCA),Kedah,8
P016,Kulim-Bandar Baharu,Abdul Kadir Sheikh Fadzir,BN (UMNO),Kedah,8
P017,Tumpat,Wan Mohd. Jamil Wan Mahmood,APU (PAS),Kelantan,8
P018,Pengkalan Chepa,Nik Abdullah Arshad,APU (PAS),Kelantan,8
P019,Kota Bharu,Ilani Isahak,APU (S46),Kelantan,8
P020,Pasir Mas,Ibrahim Ali,APU (S46),Kelantan,8
P021,Rantau Panjang,Daeng Sanusi Daeng Mariok,APU (PAS),Kelantan,8
P022,Nilam Puri,Mohamad Sabu,APU (PAS),Kelantan,8
P023,Bachok,Buniyamin Yaakob,APU (PAS),Kelantan,8
P024,Pasir Puteh,Wan Omar Wan Majid,APU (S46),Kelantan,8
P025,Kok Lanas,Mohamad Shukri Mohamed,APU (S46),Kelantan,8
P026,Tanah Merah,Ibrahim Pateh Mohammad,APU (S46),Kelantan,8
P027,Machang,Ahmad Shukri Hassan,APU (S46),Kelantan,8
P028,Kuala Krai,Ibrahim Mahmood,APU (PAS),Kelantan,8
P029,Gua Musang,Tengku Razaleigh Hamzah,APU (S46),Kelantan,8
P030,Besut,Mohamed Yusof Mohamed Noor,BN (UMNO),Terengganu,8
P031,Setiu,Tengku Mahmud Tengku Mansor,BN (UMNO),Terengganu,8
P032,Kuala Nerus,Abdul Rashid Muhammad,BN (UMNO),Terengganu,8
P033,Kuala Terengganu,Abdul Manan Othman,APU (S46),Terengganu,8
P034,Marang,Abdul Hadi Awang,APU (PAS),Terengganu,8
P035,Hulu Terengganu,Alias Md. Ali,BN (UMNO),Terengganu,8
P036,Dungun,Awang Jabar,BN (UMNO),Terengganu,8
P037,Kemaman,Ismail Said,BN (UMNO),Terengganu,8
P038,Kepala Batas,Abdullah Ahmad Badawi,BN (UMNO),Pulau Pinang,8
P039,Tasek Gelugor,Mohd Shariff Omar,BN (UMNO),Pulau Pinang,8
P040,Bagan,Lim Hock Seng,GR (DAP),Pulau Pinang,8
P041,Permatang Pauh,Anwar Ibrahim,BN (UMNO),Pulau Pinang,8
P042,Bukit Mertajam,Chian Heng Kai,GR (DAP),Pulau Pinang,8
P043,Nibong Tebal,Dominic Joseph Puthucheary,BN (Gerakan),Pulau Pinang,8
P044,Bukit Bendera,Gooi Hock Seng,GR (DAP),Pulau Pinang,8
P045,Tanjong,Lim Kit Siang,GR (DAP),Pulau Pinang,8
P046,Jelutong,Karpal Singh,GR (DAP),Pulau Pinang,8
P047,Bayan Baru,Ahmad Nor,GR (DAP),Pulau Pinang,8
P048,Balik Pulau,Mohamed Farid Ariffin,BN (UMNO),Pulau Pinang,8
P049,Gerik,Mohd Tajol Rosli Mohd Ghazali,BN (UMNO),Perak,8
P050,Larut,Mohd. Zihin Mohd. Hassan,BN (UMNO),Perak,8
P051,Parit Buntar,Abdul Raman Suliman,BN (UMNO),Perak,8
