kod_kawasan,kawasan,nama,parti,negeri,vol
P100,Johore Bahru Timor,Mohamad Noah Omar (Yang Dipertua Dewan),Perikatan (UMNO),Johor,1
P101,Johore Bahru Barat,Ahmad Mohamed Shah,Perikatan (UMNO),Johor,1
P102,Johore Timor,Ismail Abdul Rahman,Perikatan (UMNO),Johor,1
P103,Segamat Utara,Abdullah Mohd Salleh,Perikatan (UMNO),Johor,1
P104,Muar Utara,Ahmad Arshad,Perikatan (UMNO),Johor,1
P001,Perlis Utara,Othman Abdullah,Perikatan (UMNO),Perlis,2
P002,Perlis Selatan,Mokhtar Ismail,Perikatan (UMNO),Perlis,2
P003,Jitra-Padang Terap,Fatimah Hashim,Perikatan (UMNO),Kedah,2
P004,Kubang Pasu Barat,Senu Abdul Rahman,Perikatan (UMNO),Kedah,2
P005,Kota Star Utara,Abdul Khalid Awang Osman,Perikatan (UMNO),Kedah,2
P006,Alor Star,Lim Pee Hung,Perikatan (MCA),Kedah,2
P007,Kuala Kedah,Tunku Abdul Rahman Sultan Abdul Hamid Halim Shah,Perikatan (UMNO),Kedah,2
P008,Kota Star Selatan,Mahathir Mohamad,Perikatan (UMNO),Kedah,2
P009,Kedah Tengah,Khir Johari,Perikatan (UMNO),Kedah,2
P010,Jerai,Hanafiah Hussain,Perikatan (UMNO),Kedah,2
P011,Baling,Harun Abdullah,Perikatan (UMNO),Kedah,2
P012,Sungei Patani,Mohamed Zahir Ismail,Perikatan (UMNO),Kedah,2
P013,Kulim,Hanafi Mohd Yunus,Perikatan (UMNO),Kedah,2
P014,Kulim-Bandar Bahru,Tai Kuan Yang,Perikatan (MCA),Kedah,2
P015,Tumpat,Wan Hassan Wan Daud,PAS,Kelantan,2
P016,Kelantan Hilir,Nik Abdul Aziz Nik Mat,PAS,Kelantan,2
P016,Kelantan Hilir,Ahmad Abdullah,PAS,Kelantan,2
P017,Pasir Mas Hilir,Muhammad Fakhruddin Abdullah,PAS,Kelantan,2
P018,Kota Bharu Hilir,Nik Ahmad Kamil Nik Mahmud,Perikatan (UMNO),Kelantan,2
P019,Bachok,Abu Bakar Hamzah,PAS,Kelantan,2
P019,Bachok,Zulkiflee Muhammad,PAS,Kelantan,2
P020,Kota Bharu Hulu,Hussain Rahimi Saman,PAS,Kelantan,2
P021,Pasir Mas Hulu,Tengku Zaid Tengku Ahmad,PAS,Kelantan,2
P021,Pasir Mas Hulu,Abdul Samad Gul Ahmad Mianji,PAS,Kelantan,2
P022,Pasir Puteh,Mohamad Asri Muda,PAS,Kelantan,2
P023,Tanah Merah,Mustapha Ahmad,PAS,Kelantan,2
P024,Ulu Kelantan,Hussein Sulaiman,Perikatan (UMNO),Kelantan,2
P025,Besut,Mohd. Daud Abdul Samad,PAS,Terengganu,2
P026,Kuala Trengganu Utara,Wan Abdul Kadir Ismail,Perikatan (UMNO),Terengganu,2
P027,Kuala Trengganu Selatan,Abdullah Abdul Rahman,Perikatan (UMNO),Terengganu,2
