vol,kod_kawasan,negeri,kawasan,gelaran,nama,tahun_lahir,jantina,kumpulan_etnik,parti,jawatan_kabinet,jawatan_parlimen,gambar
2,,,Pasir Mas Hulu,Tuan,Abdul Samad Bin Gul Ahmad Mianji,,male,bumiputera,,,,
2,,,Kuala Terengganu Selatan,Dato',Abdullah Bin Abdulrahman,,male,bumiputera,,,,
2,,,Marhum Tuanku Abdul Rahman,Y.A.M. Tunku,Abdullah Ibni Al,,male,bumiputera,,,,
2,,,Segamat Utara,Tuan Haji,Abdullah Bin Haji Mohd. Salleh,,male,bumiputera,,,,
2,,,Kelantan Hilir,Tuan Haji,Ahmad Bin Abdullah,,male,bumiputera,,,,
2,,,Muar Utara,Tuan,Ahmad Bin Arshad,,male,bumiputera,,,,
2,,,Seberang Utara,Tuan Haji,Ahmad Bin Saaid,,male,bumiputera,,,,
2,,,Sarawak,Puan,Ajibah Binti Abol,,female,bumiputera,,,,
2,,,Pontian Selatan,Tuan,Ali Bin Haji Ahmad,,male,bumiputera,,,,
2,,,Sabah,O.K.K. Datu,Aliuddin Bin Datu Harun,,male,bumiputera,,,,
2,,,Muar Selatan,Dr.,Awang Bin Hassan,,male,bumiputera,,,,
2,,,Muar Dalam,Tuan,Aziz Bin Ishak,,male,bumiputera,,,,
2,,,Sarawak,Tuan,Jonathan Bangau Anak Renang,,male,bumiputera,,,,
2,,,Sarawak,Pengarah,Banyang Anak Janting,,male,bumiputera,,,,
2,,,Kluang Selatan,Tuan,Chan Chong Wen,,male,chinese,,,,
2,,,Setapak,Tuan,Chan Seong Yoon,,male,chinese,,,,
2,,,Bentong,Tuan,Chan Siang Sun,,male,chinese,,,,
2,,,Damansara,Tuan,Chen Wing Sum,,male,chinese,,,,
2,,,Sarawak,Tuan,Chia Chin Shin,,male,chinese,,,,
2,,,Sabah,Tuan,Francis Chia Nyuk Tong,,male,chinese,,,,
2,,,Singapore,Tuan,Chia Thye Poh,,male,chinese,,,,
2,,,Ulu Kinta,Tuan,Chin Foon,,male,chinese,,,,
2,,,Bungsar,Tuan,C. V. Devan Nair,,male,indian,,,,
2,,,Sarawak,Tuan,Edwin Anak Tangkun,,male,bumiputera,,,,
2,,,Johor Bharu Timur,Datin,Fatimah Binti Haji Abdul Majid,,female,bumiputera,,,,
2,,,Jitra,Datin,Fatimah Binti Haji Hashim,,female,bumiputera,,,,
2,,,Sabah,Tuan,S. Fazul Rahman,,male,bumiputera,,,,
2,,,Sabah,Datu,Ganie Gilong,,male,bumiputera,,,,
2,,,Singapore,Dr.,Goh Keng Swee,,male,chinese,,,,
2,,,Sabah,Tuan,Ganing Bin Jangkat,,male,bumiputera,,,,
