vol,kod_kawasan,negeri,kawasan,gelaran,nama,tahun_lahir,jantina,kumpulan_etnik,parti,jawatan_kabinet,jawatan_parlimen,gambar,spr_name
12.0,P214,Sarawak,Selangau,Y.B. Datuk,Joseph Entulu Anak Belaun,1955.0,male,bumiputera,BN - PRS,Timbalan Menteri Kemajuan Luar Bandar Dan Wilayah,,https://www.parlimen.gov.my/images/webuser/ahli/2010/P214-SELANGAU.jpg,JOSEPH ENTULU BELAUN
12.0,P215,Sarawak,Kapit,Y.B. Datuk,Alexander Nanta Linggi,1959.0,male,bumiputera,BN - PBB,Tiada,,https://www.parlimen.gov.my/images/webuser/ahli/2010/P215-KAPIT.jpg,ALEXANDER NANTA LINGGI
12.0,P217,Sarawak,Bintulu,Y.B. Dato' Seri,Tiong King Sing,1962.0,male,chinese,BN - SPDP,Tiada,,https://www.parlimen.gov.my/images/webuser/ahli/2010/P217-BINTULU.jpg,TIONG KING SING
12.0,P218,Sarawak,Sibuti,Y.B. Tuan Haji,Ahmad Lai bin Bujang,1950.0,male,bumiputera,BN - PBB,Tiada,,https://www.parlimen.gov.my/images/webuser/ahli/2010/P218-SIBUTI.jpg,AHMAD LAI BIN BUJANG
12.0,P219,Sarawak,Miri,Y.B. Dato' Sri,Peter Chin Fah Kui,1946.0,male,bumiputera,BN - SUPP,"Menteri Tenaga, Teknologi Hijau Dan Air",,https://www.parlimen.gov.my/images/webuser/ahli/2010/P219-MIRI.jpg,PETER CHIN FAH KUI
12.0,P194,Sarawak,Petra Jaya,Y.B. Datuk Haji,Fadilah bin Haji Yusof,1963.0,male,bumiputera,BN - PBB,"Timbalan Menteri Sains, Teknologi Dan Inovasi",,https://www.parlimen.gov.my/images/webuser/ahli/2010/P194-PETRAJAYA1.jpg,FADILLAH HJ YUSOF
12.0,P200,Sarawak,Batang Sadong,Y.B. Puan Hajah,Nancy binti Haji Shukri,1962.0,female,bumiputera,BN - PBB,Tiada,,https://www.parlimen.gov.my/images/webuser/ahli/2010/P200-BTGSADONG.jpg,NANCY SHUKRI
12.0,P205,Sarawak,Saratok,Y.B. Tuan,Jelaing Anak Mersat,1949.0,male,bumiputera,BN - SPDP,Timbalan Menteri Pengangkutan,,https://www.parlimen.gov.my/images/webuser/ahli/2010/P205-SARATOK1.jpg,JELAING ANAK MERSAT
12.0,P209,Sarawak,Julau,Y.B. Dato',Joseph Salang Anak Gandum,1950.0,male,bumiputera,BN - PRS,"Timbalan Menteri Penerangan, Komunikasi dan Kebudayaan",,https://www.parlimen.gov.my/images/webuser/ahli/2010/P209-JULAU.jpg,JOSEPH SALANG ANAK GANDUM
12.0,P213,Sarawak,Mukah,Y.B. Dato' Sri Dr.,Muhammad Leo Micheal Toyad Abdullah,1951.0,male,bumiputera,BN - PBB,Tiada,,https://www.parlimen.gov.my/images/webuser/ahli/2010/P213-MUKAH.jpg,MUHAMMAD LEO MICHAEL TOYAD
12.0,P019,Kelantan,Tumpat,Y.B. Dato' Haji,Kamarudin bin Jaffar,1952.0,male,bumiputera,PAS,Tiada,,https://www.parlimen.gov.my/images/webuser/ahli/2010/P019-TUMPAT.jpg,KAMARUDIN JAFFAR
12.0,P022,Kelantan,Pasir Mas,Y.B. Dato',Ibrahim Ali,1951.0,male,bumiputera,BEBAS,Tiada,,https://www.parlimen.gov.my/images/webuser/ahli/2010/P022-PASIRMAS.jpg,IBRAHIM BIN ALI
12.0,P023,Kelantan,Rantau Panjang,Y.B. Puan Hajah,Siti Zailah binti Mohd Yusoff,1964.0,female,bumiputera,PAS,Tiada,,https://www.parlimen.gov.my/images/webuser/ahli/2010/P023-RNTPJG.jpg,KAK LAH
12.0,P043,Pulau Pinang,Bagan,Y.B. Tuan,Lim Guan Eng,1961.0,male,chinese,DAP,Tiada,,https://www.parlimen.gov.my/images/webuser/ahli/2010/P043-BAGAN.jpg,LIM GUAN ENG
12.0,P044,Pulau Pinang,Permatang pauh,Y.B. Dato' Seri,Anwar bin Ibrahim,1953.0,female,bumiputera,PKR,Tiada,,https://www.parlimen.gov.my/images/webuser/ahli/2010/P044-PMTGPAUHanwar2.jpg,WAN AZIZAH
12.0,P045,Pulau Pinang,Bukit Mertajam,Y.B. Puan,Chong Eng,1958.0,female,chinese,DAP,Tiada,,https://www.parlimen.gov.my/images/webuser/ahli/2010/P045-BUKITMERTAJAM.jpg,CHONG ENG
12.0,P051,Pulau Pinang,Bukit Gelugor,Y.B. Tuan,Karpal Singh a/l Ram Singh,1941.0,male,other,DAP,Tiada,,https://www.parlimen.gov.my/images/webuser/ahli/2010/P051-BUKITGELUGOR1.jpg,KARPAL SINGH
12.0,P064,Perak,Ipoh Timur,Y.B. Tuan,Lim Kit Siang,1941.0,male,chinese,DAP,Tiada,,https://www.parlimen.gov.my/images/webuser/ahli/2010/P064-IPOHTIMUR.jpg,LIM KIT SIANG
12.0,P114,WP Kuala Lumpur,Kepong,Y.B. Dr.,Tan Seng Giaw,1943.0,male,chinese,DAP,Tiada,,https://www.parlimen.gov.my/images/webuser/ahli/2010/P114-KEPONG.jpg,TAN SENG GIAW
12.0,P120,WP Kuala Lumpur,Bukit Bintang,Y.B. Tuan,Fong Kui Lun,1947.0,male,chinese,DAP,Tiada,,https://www.parlimen.gov.my/images/webuser/ahli/2010/P120-BKTBINTANG.jpg,FONG KUI LUN
12.0,P122,WP Kuala Lumpur,Seputeh,Y.B. Puan,Teresa Kok Suh Sim,1965.0,female,chinese,DAP,Tiada,,https://www.parlimen.gov.my/images/webuser/ahli/2010/P122-SEPUTEH1.jpg,TERESA KOK
12.0,P123,WP Kuala Lumpur,Cheras,Y.B. Tuan,Tan Kok Wai,1958.0,male,chinese,DAP,Tiada,,https://www.parlimen.gov.my/images/webuser/ahli/2010/P123-CHERAS.jpg,TAN KOK WAI
