vol,name,birth_year,sex,ethnicity,parti,negeri,kawasan,kod_kawasan,jawatan_kabinet,jawatan_parlimen,uid,author_id,new_uid
14,TIONG KING SING,1962.0,male,chinese,GPS - PDP,Sarawak,BINTULU,P217,,,3622.0,21225,3622
15,TIONG KING SING,1961.0,male,chinese,GPS,Sarawak,Bintulu,P217,"Menteri Pelancongan, Seni dan Budaya",,3273.0,21225,3622
12,TIONG THAI KING,1946.0,male,chinese,BN - SUPP,Sarawak,Lanang,P211,,,2574.0,21226,2574
12,TONY PUA KIAM WEE,1973.0,male,bumiputera,DAP,Selangor,Petaling Jaya Utara,P106,,,3441.0,21227,3441
13,TONY PUA KIAM WEE,1973.0,male,bumiputera,DAP,Selangor,Petaling Jaya Utara,P106,,,3441.0,21227,3441
14,TONY PUA KIAM WEE,1973.0,male,bumiputera,PH - DAP,Selangor,DAMANSARA,P106,,,3441.0,21227,3441
15,UGAK ANAK KUMBONG,1962.0,male,bumiputera,GPS,Sarawak,Hulu Rajang,P216,Timbalan Menteri Digital,,1958.0,21253,1958
14,VELL PAARI A/L SAMY VELLU,,male,indian,MIC,TIADA,,,TIADA,TIADA,,21229,21229
15,VELL PAARI A/L TUN SAMY VELLU,,male,indian,MIC,TIADA,,,TIADA,Ahli Dewan Negara,,21229,21229
15,VERDON BIN BAHANDA,1973.0,male,bumiputera,BEBAS,Sabah,Kudat,P167,,,5046.0,21230,5046
14,VIVIAN WONG SHIR YEE,1989.0,female,chinese,PH - DAP,Sabah,SANDAKAN,P186,,,5131.0,21228,5131
15,VIVIAN WONG SHIR YEE,1989.0,female,chinese,PH,Sabah,Sandakan,P186,,,5131.0,21228,5131
13,WAHAB BIN HAJI DOLAH,1951.0,male,bumiputera,BN - PBB,Sarawak,Igan,P207,,,3613.0,20628,3613
12,WAN ABD. RAHIM BIN WAN ABDULLAH,1952.0,male,bumiputera,PAS,Kelantan,Kota Bharu,P021,,,3315.0,21236,3315
15,WAN AHMAD FAYHSAL BIN WAN AHMAD KAMAL,1987.0,male,bumiputera,PN,Kelantan,Machang,P029,,,4529.0,21237,4529
