vol,kod_kawasan,negeri,kawasan,uid,gelaran,nama,tahun_lahir,jantina,kumpulan_etnik,parti,jawatan_kabinet,jawatan_parlimen,gambar,new_key,birth_year
13,P125,WP Putrajaya,Putrajaya,3468,YB Datuk Seri,Tengku Adnan bin Tengku Mansor,1951.0,male,bumiputera,BN - UMNO,Menteri Wilayah Persekutuan,,https://www.parlimen.gov.my/images/webuser/ahli/2013/P125.jpg,181,1951
14,P125,Putrajaya,PUTRAJAYA,3468,YB DATUK SERI TENGKU,ADNAN BIN TENGKU MANSOR,1951.0,male,bumiputera,BN - UMNO,,,https://www.parlimen.gov.my/images/webuser/ahli/2013/P.125-PUTRAJAYA.png,181,1951
12,P127,Negeri Sembilan,Jempol,3470,Y.B. Dato',Lilah bin Yasin,1958.0,male,bumiputera,BN - UMNO,,,https://www.parlimen.gov.my/images/webuser/ahli/2010/P127-JEMPOL.jpg,182,1958
12,P128,Negeri Sembilan,Seremban,3473,Y.B Tuan,John a/l Fernandez,1942.0,male,indian,DAP,,,https://www.parlimen.gov.my/images/webuser/ahli/2010/P128-SEREMBAN.jpg,183,1942
12,P129,Negeri Sembilan,Kuala Pilah,3474,Y.B. Dato' Haji,Hasan bin Malek,1947.0,male,bumiputera,BN - UMNO,Timbalan Menteri Kemajuan Luar Bandar Dan Wilayah,,https://www.parlimen.gov.my/images/webuser/ahli/2010/P129-KUALAPILAH.jpg,184,1946
13,P129,Negeri Sembilan,Kuala Pilah,3474,YB Dato' Sri,Hasan bin Malek,1946.0,male,bumiputera,BN - UMNO,,,https://www.parlimen.gov.my/images/webuser/ahli/2013/P129.jpg,184,1946
12,P130,Negeri Sembilan,Rasah,3477,Y.B. Tuan,Loke Siew Fook,1978.0,male,chinese,DAP,,,https://www.parlimen.gov.my/images/webuser/ahli/2010/siewfook.jpg,185,1977
13,P128,Negeri Sembilan,Seremban,3477,YB Tuan,Loke Siew Fook,1977.0,male,chinese,DAP,,,https://www.parlimen.gov.my/images/webuser/ahli/2013/P128.jpg,185,1977
14,P128,Negeri Sembilan,SEREMBAN,3477,YB TUAN,LOKE SIEW FOOK,1977.0,male,chinese,PH - DAP,,,https://www.parlimen.gov.my/images/webuser/ahli/2013/P.128-SEREMBAN.png,185,1977
15,P128,Negeri Sembilan,Seremban,3477,YB Tuan,Loke Siew Fook,1977.0,male,chinese,PH,Menteri Pengangkutan,,https://www.parlimen.gov.my/images/webuser/ahli/2022/P128.png,185,1977
12,P131,Negeri Sembilan,Rembau,3478,Y.B. Tuan,Khairy Jamaluddin,1976.0,male,bumiputera,BN - UMNO,,,https://www.parlimen.gov.my/images/webuser/ahli/2010/P131-REMBAU.jpg,186,1976
13,P131,Negeri Sembilan,Rembau,3478,YB Brig Jen,Khairy Jamaluddin,1976.0,male,bumiputera,BN - UMNO,Menteri Belia dan Sukan,,https://www.parlimen.gov.my/images/webuser/ahli/2013/P131.jpg,186,1976
14,P131,Negeri Sembilan,REMBAU,3478,YB TUAN,KHAIRY JAMALUDDIN ABU BAKAR,1976.0,male,bumiputera,BN - UMNO,Menteri Kesihatan,,https://www.parlimen.gov.my/images/webuser/ahli/2013/P.131-REMBAU.png,186,1976
12,P132,Negeri Sembilan,Telok Kemang,3480,Y.B. Dato',Kamarul Baharin bin Abbas,1948.0,male,bumiputera,PKR,,,https://www.parlimen.gov.my/images/webuser/ahli/2010/P132-TELUKKEMANG.jpg,187,1948
13,P132,Negeri Sembilan,Telok Kemang,3480,YB Dato',Kamarul Baharin bin Abbas,1948.0,male,bumiputera,PKR,,,https://www.parlimen.gov.my/images/webuser/ahli/2013/P132.jpg,187,1948
12,P134,Melaka,Masjid Tanah,3483,Y.B. Datuk Wira,Abu Seman bin Haji Yusop,1944.0,male,bumiputera,BN - UMNO,Timbalan Menteri Dalam Negeri,,https://www.parlimen.gov.my/images/webuser/ahli/2010/abu.seman.yusop[1].jpg,188,1944
12,P136,Melaka,Tangga Batu,3487,Y.B. Datuk Wira Ir. Haji,Idris bin Haji Haron,1967.0,male,bumiputera,BN - UMNO,,,https://www.parlimen.gov.my/images/webuser/ahli/2010/P136-TANGGABATU.jpg,189,1967
