vol,kod_kawasan,negeri,kawasan,uid,gelaran,nama,tahun_lahir,jantina,kumpulan_etnik,parti,jawatan_kabinet,jawatan_parlimen,gambar
15,P108,Selangor,Shah Alam,4829,YB Tuan Haji,Azli bin Yusof,1967,male,bumiputera,PH,,,https://www.parlimen.gov.my/images/webuser/ahli/2022/P108.jpg
15,P109,Selangor,Kapar,4836,YB Dr. Hajah,Halimah Ali,1960,female,bumiputera,PN,,,https://www.parlimen.gov.my/images/webuser/ahli/2022/P109.jpg
15,P110,Selangor,Klang,4844,YB Tuan,Ganabatirau a/l Veraman,1973,male,bumiputera,PH,,,https://www.parlimen.gov.my/images/webuser/ahli/2022/P110.jpg
15,P111,Selangor,Kota Raja,4850,YB Datuk Seri Haji,Mohamad bin Sabu,1954,male,bumiputera,PH,Menteri Pertanian dan Keterjaminan Makanan,,https://www.parlimen.gov.my/images/webuser/ahli/2022/P111.png
15,P112,Selangor,Kuala Langat,4856,YB Dato' Dr.,Ahmad Yunus bin Hairi,1965,male,bumiputera,PN,,,https://www.parlimen.gov.my/images/webuser/ahli/2022/P112.jpg
15,P113,Selangor,Sepang,4861,YB Datuk Hajah,Raj Munni binti Sabu,1972,female,bumiputera,PH,Timbalan Menteri Perumahan Dan Kerajaan Tempatan,,https://www.parlimen.gov.my/images/webuser/ahli/2022/YB Sepang.png
15,P116,Kuala Lumpur,Wangsa Maju,4876,YB Tuan Ir. Ts.,Zahir bin Hassan,1959,male,bumiputera,PH,,,https://www.parlimen.gov.my/images/webuser/ahli/2022/P116.jpg
15,P119,Kuala Lumpur,Titiwangsa,4889,YB Datuk Seri,Johari bin Abdul Ghani,1964,male,bumiputera,BN,Menteri Perladangan dan Komoditi,,https://www.parlimen.gov.my/images/webuser/ahli/2022/P119.png
12,P044,Pulau Pinang,Permatang pauh,4901,Y.B. Dato' Seri,Anwar bin Ibrahim,1953,female,bumiputera,PKR,,,https://www.parlimen.gov.my/images/webuser/ahli/2010/P044-PMTGPAUHanwar2.jpg
13,P044,Pulau Pinang,Permatang Pauh,4901,YB Dato` Seri Dr.,Wan Azizah binti Wan Ismail,1952,male,bumiputera,PKR,,,https://www.parlimen.gov.my/images/webuser/ahli/2013/wan_azizah.jpg
14,P100,Selangor,PANDAN,4901,YB DATO' SERI DR,WAN AZIZAH WAN ISMAIL,1953,female,bumiputera,PH - PKR,,,https://www.parlimen.gov.my/images/webuser/ahli/2013/P.100-AMPANG.png
15,P124,Kuala Lumpur,Bandar Tun Razak,4901,YB Dato' Seri Dr.,Wan Azizah binti Dr. Wan Ismail,1952,female,bumiputera,PH,,,https://www.parlimen.gov.my/images/webuser/ahli/2022/P124.png
15,P125,Putrajaya,Putrajaya,4907,YB Datuk Dr.,Radzi Jidin,1977,male,bumiputera,PN,,,https://www.parlimen.gov.my/images/webuser/ahli/2022/P125.png
