author_id,vol,nama,gelaran,parti,lantikan,negeri,kawasan,kod_kawasan,tahun_lahir,jantina,kumpulan_etnik,jawatan_kabinet,jawatan_parlimen,penggal,tempoh,tempoh_mula,tempoh_tamat
191,1,Engku Muhsein Abdul Kadir,TIADA,Perikatan - UMNO,Dilantik Yang di-Pertuan Agong,TIADA,,,,,bumiputera,TIADA,Ahli Dewan Negara,,,1959-09-11,1964-01-01
192,13,Engku Naimah Binti Engku Taib,YB Senator Y.M.,BN - UMNO,Dipilih oleh Dewan Undangan Negeri,Terengganu,,,,M,bumiputera,TIADA,TIADA,,06.11.2015 - 05.11.2018,2015-11-06,2018-11-05
193,5,Fadzil Ahmad,TIADA,BN - UMNO,Dipilih oleh Dewan Undangan Negeri,Kedah,,,,,bumiputera,TIADA,Ahli Dewan Negara,,,1978-10-23,1981-10-22
194,5,Fadzil Mahmood,TIADA,BN - UMNO,Dipilih oleh Dewan Undangan Negeri,Perlis,,,,,bumiputera,TIADA,Ahli Dewan Negara,,,1981-12-09,1984-12-08
194,6,Fadzil Mahmood,TIADA,BN - UMNO,Dipilih oleh Dewan Undangan Negeri,Perlis,,,,,bumiputera,TIADA,Ahli Dewan Negara,,,1981-12-09,1984-12-08
194,6,Fadzil Mahmood,TIADA,BN - UMNO,Dipilih oleh Dewan Undangan Negeri,Perlis,,,,,bumiputera,TIADA,Ahli Dewan Negara,,,1984-01-10,1987-01-09
194,7,Fadzil Mahmood,TIADA,BN - UMNO,Dipilih oleh Dewan Undangan Negeri,Perlis,,,,,bumiputera,TIADA,Ahli Dewan Negara,,,1981-12-09,1984-12-08
194,7,Fadzil Mahmood,TIADA,BN - UMNO,Dipilih oleh Dewan Undangan Negeri,Perlis,,,,,bumiputera,TIADA,Ahli Dewan Negara,,,1984-01-10,1987-01-09
195,13,Fahariyah Binti Hj. Md Nordin,YB Senator Dato',BN - UMNO,Dilantik Yang di-Pertuan Agong,TIADA,,,,M,bumiputera,TIADA,Ahli Dewan Negara,,07.12.2016 - 06.12.2019,2016-12-07,2019-12-06
196,9,Faridah Abu Hassan,TIADA,BN - UMNO,Dilantik Yang di-Pertuan Agong,TIADA,,,,,bumiputera,TIADA,Ahli Dewan Negara,,,1995-09-04,1998-09-03
196,10,Faridah Abu Hassan,TIADA,BN - UMNO,Dilantik Yang di-Pertuan Agong,TIADA,,,,,bumiputera,TIADA,Ahli Dewan Negara,,,1995-09-04,1998-09-03
197,11,Fatanah Ahmad,TIADA,BN - UMNO,Dilantik Yang di-Pertuan Agong,TIADA,,,,,bumiputera,TIADA,Ahli Dewan Negara,,,2004-12-13,2007-12-12
198,4,Fatimah Salim,TIADA,BN - UMNO,Dilantik Yang di-Pertuan Agong,TIADA,,,,,bumiputera,TIADA,Ahli Dewan Negara,,,,
198,5,Fatimah Salim,TIADA,BN - UMNO,Dilantik Yang di-Pertuan Agong,TIADA,,,,,bumiputera,TIADA,Ahli Dewan Negara,,,,
199,12,Firdaus bin Haji Abdullah,YB Senator Dato' Dr.,BN - UMNO,Dilantik Yang di-Pertuan Agong,TIADA,,,,M,bumiputera,TIADA,TIADA,,26.01.2012 - 25.01.2015,2012-01-26,2015-01-25
200,7,Foo Boon Liang,TIADA,BN - MCA,Dipilih oleh Dewan Undangan Negeri,Pahang,,,,,chinese,TIADA,Ahli Dewan Negara,,,1987-07-13,1990-07-12
200,7,Foo Boon Liang,TIADA,BN - MCA,Dipilih oleh Dewan Undangan Negeri,Pahang,,,,,chinese,TIADA,Ahli Dewan Negara,,,1990-06-25,1993-06-24
200,8,Foo Boon Liang,TIADA,BN - MCA,Dipilih oleh Dewan Undangan Negeri,Pahang,,,,,chinese,TIADA,Ahli Dewan Negara,,,1987-07-13,1990-07-12
200,8,Foo Boon Liang,TIADA,BN - MCA,Dipilih oleh Dewan Undangan Negeri,Pahang,,,,,chinese,TIADA,Ahli Dewan Negara,,,1990-06-25,1993-06-24
201,2,Foo See Moi,TIADA,Perikatan - MCA,Dilantik Yang di-Pertuan Agong,TIADA,,,,,chinese,TIADA,Ahli Dewan Negara,,,1964-09-11,
201,2,Foo See Moi,TIADA,Perikatan - MCA,Dilantik Yang di-Pertuan Agong,TIADA,,,,,chinese,TIADA,Ahli Dewan Negara,,,1968-10-22,
201,3,Foo See Moi,TIADA,Perikatan - MCA,Dilantik Yang di-Pertuan Agong,TIADA,,,,,chinese,TIADA,Ahli Dewan Negara,,,1964-09-11,1970-09-10
201,3,Foo See Moi,TIADA,Perikatan - MCA,Dilantik Yang di-Pertuan Agong,TIADA,,,,,chinese,TIADA,Ahli Dewan Negara,,,1968-10-22,1974-10-21
202,7,Frankie Chong Yu Chee,TIADA,TIADA,Dipilih oleh Dewan Undangan Negeri,Sabah,,,,,chinese,TIADA,Ahli Dewan Negara,,,1990-12-17,1993-12-16
202,8,Frankie Chong Yu Chee,TIADA,BN - SAPP,Dipilih oleh Dewan Undangan Negeri,Sabah,,,,,chinese,TIADA,Ahli Dewan Negara,,,1990-12-17,1993-12-16
202,8,Frankie Chong Yu Chee,TIADA,BN - SAPP,Dipilih oleh Dewan Undangan Negeri,Sabah,,,,,chinese,TIADA,Ahli Dewan Negara,,,1994-05-09,1997-05-08
203,8,Fu Ah Kiow,TIADA,BN - MCA,Dilantik Yang di-Pertuan Agong,TIADA,,,,,chinese,TIADA,Ahli Dewan Negara,,,,
204,15,Fuziah binti Salleh,YB Senator Dr. Hajah,PKR,Dilantik Yang di-Pertuan Agong,TIADA,,,,M,bumiputera,Timbalan Menteri Perdagangan Dalam Negeri dan Kos Sara Hidup,Timbalan Menteri Perdagangan Dalam Negeri dan Kos Sara Hidup,,10.12.2022 - 09.12.2025,2022-12-10,2025-12-09
205,2,G. Louis,TIADA,TIADA,Dilantik Yang di-Pertuan Agong,TIADA,,,,,chinese,TIADA,Ahli Dewan Negara,,,1968-10-22,
205,3,G. Louis,TIADA,TIADA,Dilantik Yang di-Pertuan Agong,TIADA,,,,,chinese,TIADA,Ahli Dewan Negara,,,1968-10-22,1974-10-21
206,5,G. Pasamanickam,TIADA,BN - MIC,Dilantik Yang di-Pertuan Agong,TIADA,,,,,indian,TIADA,Ahli Dewan Negara,,,1980-12-15,1983-12-14
206,6,G. Pasamanickam,TIADA,BN - MIC,Dilantik Yang di-Pertuan Agong,TIADA,,,,,indian,TIADA,Ahli Dewan Negara,,,1980-12-15,1983-12-14
206,6,G. Pasamanickam,TIADA,BN - MIC,Dilantik Yang di-Pertuan Agong,TIADA,,,,,indian,TIADA,Ahli Dewan Negara,,,1983-12-05,1986-12-04
