vol,kod_kawasan,negeri,kawasan,uid,gelaran,nama,tahun_lahir,jantina,kumpulan_etnik,parti,jawatan_kabinet,jawatan_parlimen,gambar,spr_name
12.0,P061,Perak,Padang Rengas,2368.0,YB Dato' Seri,Mohamed Nazri bin Tan Sri Abdul Aziz,1955.0,male,bumiputera,BN - UMNO,Menteri di Jabatan Perdana Menteri,,https://www.parlimen.gov.my/images/webuser/ahli/2010/P061-PDGRENGAS1.jpg,MOHAMED NAZRI BIN TAN ABDUL AZIZ
12.0,P062,Perak,Sungai Siput,3019.0,YB Dr.,Micheal Jeyakumar Devaraj,1956.0,male,indian,PSM,Tiada,,https://www.parlimen.gov.my/images/webuser/ahli/2010/P062-SGSIPUT.jpg,MICHAEL JEYAKUMAR DEVARAJ
12.0,P063,Perak,Tambun,3380.0,YB Dato' Seri Haji,Ahmad Husni bin Mohamad Hanadzlah,1953.0,male,bumiputera,BN - UMNO,Menteri Kewangan II,,https://www.parlimen.gov.my/images/webuser/ahli/2010/P063-TAMBUN1.jpg,AHMAD HUSNI HANADZLAH
12.0,P067,Perak,Kuala Kangsar,1228.0,YB Tan Sri,Rafidah binti Abd. Aziz,1944.0,female,bumiputera,BN - UMNO,Tiada,,https://www.parlimen.gov.my/images/webuser/ahli/2010/rafidah.aziz[1].jpg,RAFIDAH AZIZ
12.0,P068,Perak,Beruas,2081.0,YB Dato',Ngeh Koo Ham,1962.0,male,chinese,DAP,Tiada,,https://www.parlimen.gov.my/images/webuser/ahli/2010/P068-BERUAS.jpg,NGEH KOO HAM
12.0,P070,Perak,Kampar,3390.0,YB Dato',Lee Chee Leong,1958.0,male,chinese,BN - MCA,Timbalan Menteri Dalam Negeri,,https://www.parlimen.gov.my/images/webuser/ahli/2010/P070-KAMPAR.jpg,LEE CHEE LEONG
12.0,P071,Perak,Gopeng,3391.0,YB Dr.,Lee Boon Chye,1960.0,male,chinese,PKR,Tiada,,https://www.parlimen.gov.my/images/webuser/ahli/2010/P071-GOPENG.jpg,LEE BOON CHYE
12.0,P072,Perak,Tapah,3393.0,YB Datuk,M. Saravanan,1968.0,male,indian,BN - MIC,Timbalan Menteri Wilayah Persekutuan Dan Kesejahteraan Bandar,,https://www.parlimen.gov.my/images/webuser/ahli/2010/P072-TAPAH.jpg,M. SARAVANAN
12.0,P074,Perak,Lumut,2706.0,YB Dato' Seri,Kong Cho Ha,1951.0,male,chinese,BN - MCA,Menteri Pengangkutan,,https://www.parlimen.gov.my/images/webuser/ahli/2010/P074-LUMUT.jpg,KONG CHO HA
12.0,P075,Perak,Bagan Datok,2393.0,YB Dato' Seri Dr.,Ahmad Zahid bin Hamidi,1953.0,male,bumiputera,BN - UMNO,Menteri Pertahanan,,https://www.parlimen.gov.my/images/webuser/ahli/2010/ahmad.zahid.hamidi[1].jpg,AHMAD ZAHID BIN HAMIDI
12.0,P076,Perak,Teluk Intan,3398.0,YB Tuan,Manogaran a/l Marimuthu,1960.0,male,indian,DAP,Tiada,,https://www.parlimen.gov.my/images/webuser/ahli/2010/P076-TELOKINTAN.jpg,MANOGARAN
12.0,P077,Perak,Tanjong Malim,3399.0,YB Dato' Seri,Ong Ka Chuan,1955.0,male,chinese,BN - MCA,,,https://www.parlimen.gov.my/images/webuser/ahli/2010/P077-TANJONGMALIM.jpg,ONG KA CHUAN
12.0,P046,Pulau Pinang,Batu Kawan,3354.0,YB Prof. Dr.,Ramasamy a/l Palanisamy,1950.0,male,indian,DAP,Tiada,,https://www.parlimen.gov.my/images/webuser/ahli/2010/P046-BTKAWAN.jpg,P. RAMASAMY
12.0,P058,Perak,Bagan Serai,3372.0,YB Tuan,Mohsin Fadzli bin Haji Samsuri,1946.0,male,bumiputera,BEBAS,Tiada,,https://www.parlimen.gov.my/images/webuser/ahli/2010/P058-BGSERAI.jpg,MOHSIN FADZLI BIN SAMSURI
12.0,P053,Pulau Pinang,Balik Pulau,3366.0,YB Tuan,Mohd Yusmadi bin Mohd Yusoff,1975.0,male,bumiputera,PKR,Tiada,,https://www.parlimen.gov.my/images/webuser/ahli/2010/P053-BALIKPULAU.jpg,YUSMADI YUSOFF
12.0,P054,Perak,Gerik,3012.0,YB Dato',Tan Lian Hoe,1959.0,female,chinese,BN - GERAKAN,"Timbalan Menteri Perdagangan Dalam Negeri, Koperasi Dan Kepenggunaan",,https://www.parlimen.gov.my/images/webuser/ahli/2010/P054-GERIK.jpg,TAN LIAN HOE
12.0,P060,Perak,Taiping,3376.0,YB Tuan,Nga Kor Ming,1973.0,male,chinese,DAP,Tiada,,https://www.parlimen.gov.my/images/webuser/ahli/2010/P060-TAIPING.jpg,NGA KOR MING
12.0,P069,Perak,Parit,3388.0,YB Tuan,Mohd Nizar bin Zakaria,1969.0,male,bumiputera,BN - UMNO,Tiada,,https://www.parlimen.gov.my/images/webuser/ahli/2010/P069-PARIT.jpg,NIZAR
12.0,P057,Perak,Parit Buntar,2990.0,YB Dr.,Mujahid Yusof Rawa,1965.0,male,bumiputera,PAS,Tiada,,https://www.parlimen.gov.my/images/webuser/ahli/2010/P057-PARITBUNTAR.jpg,MUJAHID YUSOF RAWA
12.0,P080,Pahang,Raub,3406.0,YB Dato' Sri Dr.,Ng Yen Yen,1947.0,female,chinese,BN - MCA,Menteri Pelancongan,,https://www.parlimen.gov.my/images/webuser/ahli/2010/P080-RAUB1.jpg,NG YEN YEN
12.0,P081,Pahang,Jerantut,2411.0,YBM Dato' Seri,Tengku Azlan Ibni Almarhum Sultan Abu Bakar,1950.0,male,bumiputera,BN - UMNO,Tiada,,https://www.parlimen.gov.my/images/webuser/ahli/2010/P081-JERANTUT1.jpg,TENGKU AZLAN IBNI SULTAN ABU BAKAR
12.0,P083,Pahang,Kuantan,2716.0,YB Puan Hajah,Fuziah binti Salleh,1960.0,female,bumiputera,PKR,Tiada,,https://www.parlimen.gov.my/images/webuser/ahli/2010/P083-KUANTAN.jpg,FUZIAH SALLEH
12.0,P084,Pahang,Paya Besar,3411.0,YB Dato' Haji,Abdul Manan bin Ismail,1949.0,male,bumiputera,BN - UMNO,Tiada,,https://www.parlimen.gov.my/images/webuser/ahli/2010/P084-PAYABESAR.jpg,ABDUL MANAN BIN ISMAIL
12.0,P085,Pahang,Pekan,1216.0,YAB Dato' Sri Hj.,Mohd Najib bin Tun Hj. Abdul Razak,1954.0,male,bumiputera,BN - UMNO,"Perdana Menteri, Menteri Kewangan, dan Menteri Pembangunan Wanita, Keluarga dan Masyarakat",,https://www.parlimen.gov.my/images/webuser/ahli/2010/PM.jpg,MOHD NAJIB BIN TUN ABDUL RAZAK
12.0,P088,Pahang,Temerloh,3416.0,YB Dato',Saifuddin bin Abdullah,1961.0,male,bumiputera,BN - UMNO,Timbalan Menteri Pengajian Tinggi,,https://www.parlimen.gov.my/images/webuser/ahli/2010/P088-TEMERLOH.jpg,SAIFUDDIN ABDULLAH
12.0,P089,Pahang,Bentong,2721.0,YB Dato' Sri,Liow Tiong Lai,1962.0,male,chinese,BN - MCA,Menteri Kesihatan,,https://www.parlimen.gov.my/images/webuser/ahli/2010/P089-BENTONG1.jpg,LIOW TIONG LAI
12.0,P091,Pahang,Rompin,3420.0,YB Dato' Seri Dr. Haji,Jamaludin bin Dato' Mohd Jarjis,1952.0,male,bumiputera,BN - UMNO,Tiada,,https://www.parlimen.gov.my/images/webuser/ahli/2010/jamaludin.mohd jarjis[1].jpg,JAMALUDIN BIN JARJIS
12.0,P078,Pahang,Cameron Highlands,3402.0,YB Dato',Devamany a/l S.Krishnasamy,1958.0,male,indian,BN - MIC,Timbalan Menteri di Jabatan Perdana Menteri,,https://www.parlimen.gov.my/images/webuser/ahli/2010/P078-CAMERONHLANDS1.jpg,S.K. DEVAMANY
12.0,P079,Pahang,Lipis,3403.0,YB Dato' Dr.,Mohamad Shahrum bin Osman,1954.0,male,bumiputera,BN - UMNO,Tiada,,https://www.parlimen.gov.my/images/webuser/ahli/2010/P079-LIPIS.jpg,SHAHRUM OSMAN
12.0,P082,Pahang,Indera Mahkota,3409.0,YB Tuan,Azan bin Ismail,1966.0,male,bumiputera,PKR,Tiada,,https://www.parlimen.gov.my/images/webuser/ahli/2010/P082-INDRAMAHKOTA.jpg,AZAN ISMAIL
12.0,P086,Pahang,Maran,3413.0,YB Dato' Haji,Ismail bin Haji Abd Muttalib,1955.0,male,bumiputera,BN - UMNO,Tiada,,https://www.parlimen.gov.my/images/webuser/ahli/2010/P086-MARAN.jpg,ISMAIL BIN HJ ABDUL MUTTALIB
12.0,P087,Pahang,Kuala Krau,1613.0,YB Dato' Haji,Ismail bin Haji Mohamed Said,1966.0,male,bumiputera,BN - UMNO,Tiada,,https://www.parlimen.gov.my/images/webuser/ahli/2010/P087-KKRAU.jpg,ISMAIL BIN MOHAMED SAID
12.0,P090,Pahang,Bera,3061.0,YB Dato' Sri,Ismail Sabri bin Yaakob,1960.0,male,bumiputera,BN - UMNO,"Menteri Perdagangan Dalam Negeri, Koperasi Dan Kepenggunaan",,https://www.parlimen.gov.my/images/webuser/ahli/2010/P090-BERA.jpg,ISMAIL SABRI YAAKOB
12.0,P095,Selangor,Tanjong Karang,2416.0,Y.B. Datuk Seri Haji,Noh bin Haji Omar,1958.0,male,bumiputera,BN - UMNO,Menteri Pertanian Dan Industri Asas Tani,,https://www.parlimen.gov.my/images/webuser/ahli/2010/noh.omar[1].jpg,NOH BIN OMAR
12.0,P097,Selangor,Selayang,3427.0,Y.B. Tuan,William Leong Jee Keen,1957.0,male,chinese,PKR,Tiada,,https://www.parlimen.gov.my/images/webuser/ahli/2010/P097-SELAYANG-b.jpg,WILLIAM LEONG JEE KEEN
12.0,P100,Selangor,Pandan,2119.0,Y.B. Dato' Sri,Ong Tee Keat,1957.0,male,chinese,BN - MCA,Nil,,https://www.parlimen.gov.my/images/webuser/ahli/2010/P100-PANDAN1.jpg,ONG TEE KEAT
12.0,P102,Selangor,Serdang,3434.0,Y.B. Puan,Teo Nie Ching,1981.0,female,chinese,DAP,Tiada,,https://www.parlimen.gov.my/images/webuser/ahli/2010/P102-SERDANG.jpg,TEO NIE CHING
12.0,P105,Selangor,Petaling Jaya Selatan,3440.0,Y.B. Tuan,Hee Loy Sian,1971.0,male,chinese,PKR,Tiada,,https://www.parlimen.gov.my/images/webuser/ahli/2010/P105-PJSELATAN.jpg,HEE LOY SIAN
12.0,P106,Selangor,Petaling Jaya Utara,3441.0,Y.B. Tuan,Tony Pua Kiam Wee,1973.0,male,bumiputera,DAP,Tiada,,https://www.parlimen.gov.my/images/webuser/ahli/2010/P106-PJUTARA.jpg,TONY PUA
12.0,P107,Selangor,Subang,3443.0,Y.B. Tuan,Sivarasa a/l K. Rasiah,1957.0,male,indian,PKR,Tiada,,https://www.parlimen.gov.my/images/webuser/ahli/2010/P107-SUBANG.jpg,SIVARASA RASIAH
12.0,P109,Selangor,Kapar,3446.0,Y.B. Tuan,Manikavasagam a/l Sundaram,1966.0,male,indian,PKR,Tiada,,https://www.parlimen.gov.my/images/webuser/ahli/2010/P109-KAPAR.jpg,MANIKAVASAGAM
12.0,P110,Selangor,Klang,3447.0,Y.B. Tuan,Charles Anthony a/l R. Santiago,1961.0,male,indian,DAP,Tiada,,https://www.parlimen.gov.my/images/webuser/ahli/2010/P110-KLANG.jpg,CHARLES SANTIAGO
12.0,P112,Selangor,Kuala Langat,3451.0,Y.B. Tuan,Abdullah Sani bin Abdul Hamid,1962.0,male,bumiputera,PKR,Tiada,,https://www.parlimen.gov.my/images/webuser/ahli/2010/P112-KLANGAT.jpg,ABDULLAH SANI
12.0,P113,Selangor,Sepang,3452.0,Y.B. Dato' Ir.,Mohd Zin bin Mohamed,1955.0,male,bumiputera,BN - UMNO,,,https://www.parlimen.gov.my/images/webuser/ahli/2010/SEPANG.JPG,MOHD ZIN MOHAMED
12.0,P092,Selangor,Sabak Bernam,3421.0,Y.B. Datuk,Abd. Rahman bin Bakri,1966.0,male,bumiputera,BN - UMNO,Tiada,,https://www.parlimen.gov.my/images/webuser/ahli/2010/P092-SABAKBERNAM.jpg,ABDUL RAHMAN BAKRI
12.0,P093,Selangor,Sungai Besar,3422.0,Y.B. Dato',Noriah binti Kasnon,1964.0,female,bumiputera,BN - UMNO,"Timbalan Menteri Pembangunan Wanita, Keluarga dan Masyarakat",,https://www.parlimen.gov.my/images/webuser/ahli/2010/P093-SGBESAR.jpg,NORIAH BINTI KASNON
12.0,P096,Selangor,Kuala Selangor,3424.0,Y.B. Dr. Haji,Dzulkefly Ahmad,1956.0,male,bumiputera,PAS,Tiada,,https://www.parlimen.gov.my/images/webuser/ahli/2010/P096-KSELANGOR.jpg,DZULKEFLY AHMAD
12.0,P098,Selangor,Gombak,3428.0,Y.B. Tuan,Mohamed Azmin bin Ali,1965.0,male,bumiputera,PKR,Tiada,,https://www.parlimen.gov.my/images/webuser/ahli/2010/P098-GOMBAK.jpg,AZMIN ALI
12.0,P099,Selangor,Ampang,3431.0,Y.B. Puan Hajah,Zuraida binti Kamaruddin,1958.0,female,bumiputera,PKR,Tiada,,https://www.parlimen.gov.my/images/webuser/ahli/2010/P099-AMPANG.jpg,ZURAIDA KAMARUDDIN
12.0,P101,Selangor,Hulu Langat,3433.0,Y.B. Dr.,Che Rosli bin Che Mat,1952.0,male,bumiputera,PAS,Tiada,,https://www.parlimen.gov.my/images/webuser/ahli/2010/P101-HLLANGAT.jpg,CHE ROSLI CHE MAT
12.0,P103,Selangor,Puchong,3436.0,Y.B. Tuan,Gobind Singh Deo,1974.0,male,other,DAP,Tiada,,https://www.parlimen.gov.my/images/webuser/ahli/2010/P103-PUCHONG.jpg,GOBIND SINGH DEO
12.0,P104,Selangor,Kelana Jaya,3438.0,Y.B. Tuan,Gwo-Burne Loh,1974.0,male,bumiputera,PKR,Tiada,,https://www.parlimen.gov.my/images/webuser/ahli/2010/P104-KLNJAYA.jpg,GWO BURNE LOH
12.0,P108,Selangor,Shah Alam,3095.0,Y.B. Tuan,Khalid bin Abd Samad,1958.0,male,bumiputera,PAS,Tiada,,https://www.parlimen.gov.my/images/webuser/ahli/2010/P108-SHAHALAM.jpg,KHALID ABDUL SAMAD
12.0,P111,Selangor,Kota Raja,3449.0,Y.B. Dr.,Siti Mariah binti Mahmud,1958.0,female,bumiputera,PAS,Tiada,,https://www.parlimen.gov.my/images/webuser/ahli/2010/P111-KOTARAJA.jpg,MARIAH MAHMUD
12.0,P115,WP Kuala Lumpur,Batu,2789.0,Y.B. Tuan,Chua Tian Chang,1964.0,male,chinese,PKR,Tiada,,https://www.parlimen.gov.my/images/webuser/ahli/2010/P115-BATU.jpg,TIAN CHUA
12.0,P117,WP Kuala Lumpur,Segambut,3456.0,Y.B. Tuan,Lim Lip Eng,1973.0,male,chinese,DAP,Tiada,,https://www.parlimen.gov.my/images/webuser/ahli/2010/P117-SEGAMBUT.jpg,LIM LIP ENG
12.0,P121,WP Kuala Lumpur,Lembah Pantai,3464.0,Y.B. Puan,Nurul Izzah binti Anwar,1981.0,female,bumiputera,PKR,Tiada,,https://www.parlimen.gov.my/images/webuser/ahli/2010/P121-LMBHPANTAI.jpg,NURUL IZZAH ANWAR
12.0,P124,WP Kuala Lumpur,Bandar Tun Razak,3467.0,Y.B. Tan Sri Dato' Seri,Abd Khalid bin Ibrahim,1947.0,male,bumiputera,PKR,Tiada,,https://www.parlimen.gov.my/images/webuser/ahli/2010/P124-BDRTUNRAZAK.jpg,ABDUL KHALID IBRAHIM
12.0,P166,WP Labuan,Labuan,3530.0,Y.B. Datuk Haji,Yussof bin Haji Mahal,1958.0,male,bumiputera,BN - UMNO,Tiada,,https://www.parlimen.gov.my/images/webuser/ahli/2010/P166-LABUAN.jpg,YUSSOF BIN MAHAL
12.0,P116,WP Kuala Lumpur,Wangsa Maju,1804.0,Y.B. Tuan,Wee Choo Keong,1954.0,male,chinese,BEBAS,Tiada,,https://www.parlimen.gov.my/images/webuser/ahli/2010/P116-WGSMAJU.jpg,WEE CHOO KEONG
12.0,P119,WP Kuala Lumpur,Titiwangsa,3460.0,Y.B. Dr. (Meninggal Dunia),Lo' Lo' binti Hj Mohamad Ghazali,1958.0,female,bumiputera,PAS,Tiada,,https://www.parlimen.gov.my/images/webuser/ahli/2010/P119-TITIWANGSA.jpg,LO'LO'
12.0,P125,WP Putrajaya,Putrajaya,3468.0,Y.B. Datuk Seri,Tengku Adnan bin Tengku Mansor,1951.0,male,bumiputera,BN - UMNO,Tiada,,https://www.parlimen.gov.my/images/webuser/ahli/2010/P125-PUTRAJAYA3.jpg,TENGKU ADNAN BIN TENGKU MANSOR
12.0,P126,Negeri Sembilan,Jelebu,991.0,Y.B. Dato' Seri Utama Dr.,Rais Bin Yatim,1943.0,male,bumiputera,BN - UMNO,"Menteri Penerangan, Komunikasi dan Kebudayaan",,https://www.parlimen.gov.my/images/webuser/ahli/2010/P126-JELEBU1.jpg,RAIS YATIM
12.0,P128,Negeri Sembilan,Seremban,3473.0,Y.B Tuan,John a/l Fernandez,1942.0,male,indian,DAP,Tiada,,https://www.parlimen.gov.my/images/webuser/ahli/2010/P128-SEREMBAN.jpg,JOHN FERNANDEZ
