vol,kod_kawasan,negeri,kawasan,gelaran,nama,tahun_lahir,jantina,kumpulan_etnik,parti,jawatan_kabinet,jawatan_parlimen,gambar
15.0,P171,Sabah,Sepanggar,YB Datuk Ts.,Mustapha Sakmud,1969.0,male,bumiputera,PH,Timbalan Menteri Pendidikan Tinggi,,https://www.parlimen.gov.my/images/webuser/ahli/2022/P171.jpg
15.0,P218,Sarawak,Sibuti,YB Dato,Lukanisman bin Awang Sauni,1982.0,male,bumiputera,GPS,Timbalan Menteri Kesihatan,,https://www.parlimen.gov.my/images/webuser/ahli/2022/P218.jpg
15.0,P216,Sarawak,Hulu Rajang,YB Datuk,Ugak anak Kumbong,1962.0,male,bumiputera,GPS,Timbalan Menteri Digital,,https://www.parlimen.gov.my/images/webuser/ahli/2022/P216.jpg
15.0,P065,Perak,Ipoh Barat,YB Tuan,M.Kulasegaran a/l V.Murugeson,1957.0,male,indian,PH,Timbalan Menteri di Jabatan Perdana Menteri (Undang-undang dan Reformasi Institusi),,https://www.parlimen.gov.my/images/webuser/ahli/2022/P065.png
15.0,P147,Johor,Parit Sulong,YB Datuk Seri Dr.,Noraini binti Ahmad,1967.0,female,bumiputera,BN,"Timbalan Menteri Pembangunan Wanita, Keluarga dan Masyarakat",,https://www.parlimen.gov.my/images/webuser/ahli/2022/P147.png
15.0,P107,Selangor,Sungai Buloh,YB Dato' Sri,Ramanan Ramakrishnan,1981.0,male,indian,PH,Timbalan Menteri Pembangunan Usahawan dan Koperasi,,https://www.parlimen.gov.my/images/webuser/ahli/2022/P107.jpg
15.0,P060,Perak,Taiping,YB Tuan,Wong Kah Woh,1980.0,male,chinese,PH,Timbalan Menteri Pendidikan,,https://www.parlimen.gov.my/images/webuser/ahli/2022/P060.jpg
15.0,P015,Kedah,Sungai Petani,YB Dr.,Mohammed Taufiq bin Johari,1996.0,male,bumiputera,PH,,,https://www.parlimen.gov.my/images/webuser/ahli/2022/P015.jpg
15.0,P043,Pulau Pinang,Bagan,YB Tuan,Lim Guan Eng,1961.0,male,chinese,PH,,,https://www.parlimen.gov.my/images/webuser/ahli/2022/P043.jpg
15.0,P046,Pulau Pinang,Batu Kawan,YB Tuan,Chow Kon Yeow,1958.0,male,chinese,PH,,,https://www.parlimen.gov.my/images/webuser/ahli/2022/P046.png
15.0,P048,Pulau Pinang,Bukit Bendera,YB Puan,Syerleena binti Abdul Rashid,1980.0,female,bumiputera,PH,,,https://www.parlimen.gov.my/images/webuser/ahli/2022/P048.jpg
15.0,P050,Pulau Pinang,Jelutong,YB Tuan,Sanisvara Nethaji Rayer a/l Rajaji,1971.0,male,indian,PH,,,https://www.parlimen.gov.my/images/webuser/ahli/2022/P050.jpg
15.0,P051,Pulau Pinang,Bukit Gelugor,YB Tuan,Ramkarpal Singh a/l Karpal Singh,1976.0,male,other,PH,,,https://www.parlimen.gov.my/images/webuser/ahli/2022/P051.png
15.0,P052,Pulau Pinang,Bayan Baru,YB Tuan,Sim Tze Tzin,1976.0,male,chinese,PH,,,https://www.parlimen.gov.my/images/webuser/ahli/2022/P052.jpg
15.0,P053,Pulau Pinang,Balik Pulau,YB Dato',Muhammad Bakhtiar bin Wan Chik,1965.0,male,bumiputera,PH,,,https://www.parlimen.gov.my/images/webuser/ahli/2022/P053.jpg
15.0,P062,Perak,Sungai Siput,YB Tuan,Kesavan a/l Subramaniam,1972.0,male,indian,PH,,,https://www.parlimen.gov.my/images/webuser/ahli/2022/P062.jpg
15.0,P064,Perak,Ipoh Timor,YB Tuan,Lee Chuan How,1983.0,male,chinese,PH,,,https://www.parlimen.gov.my/images/webuser/ahli/2022/P064.jpg
15.0,P066,Perak,Batu Gajah,YB Tuan,Sivakumar a/l Varatharaju Naidu,1971.0,male,indian,PH,,,https://www.parlimen.gov.my/images/webuser/ahli/2022/P066.png
15.0,P068,Perak,Beruas,YB Dato',Ngeh Koo Ham,1961.0,male,chinese,PH,,,https://www.parlimen.gov.my/images/webuser/ahli/2022/P068.jpg
15.0,P070,Perak,Kampar,YB Tuan,Chong Zhemin,1985.0,male,chinese,PH,,,https://www.parlimen.gov.my/images/webuser/ahli/2022/P070.jpg
15.0,P071,Perak,Gopeng,YB Tuan,Tan Kar Hing,1982.0,male,chinese,PH,,,https://www.parlimen.gov.my/images/webuser/ahli/2022/P071.jpg
15.0,P080,Pahang,Raub,YB Tuan,Chow Yu Hui,1983.0,male,chinese,PH,,,https://www.parlimen.gov.my/images/webuser/ahli/2022/P080.jpg
15.0,P089,Pahang,Bentong,YB Puan,Young Syefura binti Othman,1989.0,female,bumiputera,PH,,,https://www.parlimen.gov.my/images/webuser/ahli/2022/P089.jpg
15.0,P097,Selangor,Selayang,YB Tuan,William Leong Jee Keen,1957.0,male,chinese,PH,,,https://www.parlimen.gov.my/images/webuser/ahli/2022/P097.png
15.0,P098,Selangor,Gombak,YAB Dato' Seri,Amirudin bin Shari,1980.0,male,bumiputera,PH,,,https://www.parlimen.gov.my/images/webuser/ahli/2022/P098.png
15.0,P099,Selangor,Ampang,YB Puan Hajah,Rodziah binti Ismail,1964.0,female,bumiputera,PH,,,https://www.parlimen.gov.my/images/webuser/ahli/2022/P099.jpg
15.0,P101,Selangor,Hulu Langat,YB Tuan,Mohd Sany bin Hamzan,1977.0,male,bumiputera,PH,,,https://www.parlimen.gov.my/images/webuser/ahli/2022/P101.jpg
15.0,P102,Selangor,Bangi,YB Tuan,Syahredzan bin Johan,1983.0,male,bumiputera,PH,,,https://www.parlimen.gov.my/images/webuser/ahli/2022/P102.jpg
15.0,P103,Selangor,Puchong,YB Puan,Yeo Bee Yin,1983.0,female,chinese,PH,,,https://www.parlimen.gov.my/images/webuser/ahli/2022/P103.png
15.0,P104,Selangor,Subang,YB Tuan,Wong Chen,1969.0,male,chinese,PH,,,https://www.parlimen.gov.my/images/webuser/ahli/2022/P104.jpg
15.0,P105,Selangor,Petaling Jaya,YB Tuan,Lee Chean Chung,1981.0,male,chinese,PH,,,https://www.parlimen.gov.my/images/webuser/ahli/2022/P105.jpg
15.0,P108,Selangor,Shah Alam,YB Tuan Haji,Azli bin Yusof,1967.0,male,bumiputera,PH,,,https://www.parlimen.gov.my/images/webuser/ahli/2022/P108.jpg
15.0,P110,Selangor,Klang,YB Tuan,Ganabatirau a/l Veraman,1973.0,male,bumiputera,PH,,,https://www.parlimen.gov.my/images/webuser/ahli/2022/P110.jpg
