vol,kod_kawasan,negeri,kawasan,gelaran,nama,tahun_lahir,jantina,kumpulan_etnik,parti,jawatan_kabinet,jawatan_parlimen,gambar,remarks,id,uid,new_id,index
14,P144,Johor,LEDANG,YB TUAN,SYED IBRAHIM BIN SYED NOH,1964.0,male,bumiputera,PH - PKR,,,https://www.parlimen.gov.my/images/webuser/ahli/2013/P.144-LEDANG.png,,1347,4261.0,395.0,
14,P145,Johor,BAKRI,YB PUAN,YEO BEE YIN,1983.0,female,chinese,PH - DAP,,,https://www.parlimen.gov.my/images/webuser/ahli/2013/P.145-BAKRI.png,,1389,4263.0,396.0,
14,P146,Johor,MUAR,YB TUAN,SYED SADDIQ BIN SYED ABDUL RAHMAN,1993.0,male,bumiputera,BERSATU > BEBAS > MUDA,,,https://www.parlimen.gov.my/images/webuser/ahli/2013/P.146-MUAR.png,,1348,4266.0,397.0,
14,P147,Johor,PARIT SULONG,YB DATUK SERI DR.,NORAINI BINTI AHMAD,1967.0,female,bumiputera,BN - UMNO,Menteri Pengajian Tinggi,,https://www.parlimen.gov.my/images/webuser/ahli/2013/P.147-PARIT SULONG.png,,1273,3501.0,198.0,
14,P148,Johor,AYER HITAM,YB DATUK SERI IR. DR.,WEE KA SIONG,1968.0,male,chinese,BN - MCA,Menteri Pengangkutan,,https://www.parlimen.gov.my/images/webuser/ahli/2013/P.148-AYER HITAM.png,,939,3502.0,199.0,
14,P149,Johor,SRI GADING,YB DATUK DR.,SHARUDDIN BIN MD SALLEH,1956.0,male,bumiputera,BERSATU > BEBAS > PEJUANG,,,https://www.parlimen.gov.my/images/webuser/ahli/2013/P.149-SRI GADING.png,,1328,4270.0,398.0,
14,P150,Johor,BATU PAHAT,YB DATO',MOHD RASHID HASNON,1960.0,male,bumiputera,PH - PKR > BERSATU,,Timbalan Yang di-Pertua Dewan Rakyat,https://www.parlimen.gov.my/images/webuser/ahli/2013/P.150-BATU PAHAT.png,,1229,4273.0,399.0,
14,P151,Johor,SIMPANG RENGGAM,YB DR.,MASZLEE BIN MALIK,1975.0,male,bumiputera,BERSATU > BEBAS > PH - PKR,,,https://www.parlimen.gov.my/images/webuser/ahli/2013/P.151-SIMPANG RENGGAM.png,,1190,4276.0,400.0,
14,P152,Johor,KLUANG,YB PUAN,WONG SHU QI,1983.0,female,bumiputera,PH - DAP,,,https://www.parlimen.gov.my/images/webuser/ahli/2013/P.152-KLUANG.png,,1383,4278.0,401.0,
14,P153,Johor,SEMBRONG,YB DATO' SERI,HISHAMMUDDIN TUN HUSSEIN,1961.0,male,bumiputera,BN - UMNO,Menteri Kanan Pertahanan,,https://www.parlimen.gov.my/images/webuser/ahli/2013/P.153-SEMBRONG.png,,319,3510.0,204.0,
14,P154,Johor,MERSING,YB DATUK DR. HAJI,ABDUL LATIFF BIN AHMAD,1959.0,male,bumiputera,BN - UMNO > BERSATU,Menteri di Jabatan Perdana Menteri (Tugas-Tugas Khas),,https://www.parlimen.gov.my/images/webuser/ahli/2013/P.154-MERSING.png,,39,3512.0,205.0,
14,P155,Johor,TENGGARA,YB DATO' SRI DR.,ADHAM BIN BABA,1963.0,male,bumiputera,BN - UMNO,"Menteri Sains, Teknologi dan Inovasi",,https://www.parlimen.gov.my/images/webuser/ahli/2013/P.155-TENGGARA.png,,95,4284.0,402.0,
14,P156,Johor,KOTA TINGGI,YB DATUK,HALIMAH BINTI MOHAMED SADIQUE,1962.0,female,bumiputera,BN - UMNO,Menteri Perpaduan Negara,,https://www.parlimen.gov.my/images/webuser/ahli/2013/P.156-KOTA TINGGI.png,,1097,3515.0,206.0,
14,P157,Johor,PENGERANG,YB DATO' SRI,AZALINA BINTI OTHMAN SAID,1964.0,female,bumiputera,BN - UMNO,,,https://www.parlimen.gov.my/images/webuser/ahli/2013/P.157-PENGERANG.png,,154,3518.0,208.0,
14,P158,Johor,TEBRAU,YB TUAN,STEVEN CHOONG SHIAU YOON,1958.0,male,chinese,PH - PKR > PBM,,,https://www.parlimen.gov.my/images/webuser/ahli/2013/P.158-TEBRAU.png,,1340,3865.0,315.0,
14,P159,Johor,PASIR GUDANG,YB TUAN,HASSAN BIN ABDUL KARIM,1951.0,male,bumiputera,PH - PKR,,,https://www.parlimen.gov.my/images/webuser/ahli/2013/P.159-PASIR GUDANG.png,,1106,1860.0,20.0,
14,P160,Johor,JOHOR BAHRU,YB TUAN HAJI,AKMAL NASRULLAH BIN MOHD NASIR,1986.0,male,bumiputera,PH - PKR,,,https://www.parlimen.gov.my/images/webuser/ahli/2013/P.160-JOHOR BAHRU.png,,1034,4289.0,403.0,
14,P161,Johor,PULAI,YB DATUK SERI HAJI,SALAHUDDIN BIN AYUB,1962.0,male,bumiputera,PH - AMANAH,,,https://www.parlimen.gov.my/images/webuser/ahli/2013/P.161-PULAI.png,,780,2958.0,78.0,
14,P162,Johor,ISKANDAR PUTERI,YB TUAN,LIM KIT SIANG,1941.0,male,chinese,PH - DAP,,,https://www.parlimen.gov.my/images/webuser/ahli/2013/P.162-ISKANDAR PUTERI.png,,469,698.0,1.0,
14,P163,Johor,KULAI,YB PUAN,TEO NIE CHING,1981.0,female,chinese,PH - DAP,,,https://www.parlimen.gov.my/images/webuser/ahli/2013/P.163-KULAI.png,,1359,3434.0,166.0,
14,P164,Johor,PONTIAN,YB DATUK SERI HAJI,AHMAD BIN HAJI MASLAN,1966.0,male,bumiputera,BN - UMNO,,,https://www.parlimen.gov.my/images/webuser/ahli/2013/P.164-PONTIAN.png,,1017,3527.0,212.0,
14,P165,Johor,TANJUNG PIAI,YB DATUK WIRA DR.,MOHD FARID MOHD RAFIK,1977.0,male,bumiputera,BERSATU,,,,death,1211,3529.0,213.0,
14,P165,Johor,TANJUNG PIAI,YB DATO' SRI DR.,WEE JECK SENG,1964.0,male,chinese,BN - MCA,Timbalan Menteri Perusahaan Perladangan dan Komoditi II,,https://www.parlimen.gov.my/images/webuser/ahli/2019/p165.png,,1370,3529.0,213.0,
14,P166,Labuan,LABUAN,YB DATUK,ROZMAN BIN ISLI,1965.0,male,bumiputera,BN - UMNO > WARISAN,,,https://www.parlimen.gov.my/images/webuser/ahli/2013/P.166-LABUAN.png,,1305,3875.0,318.0,
14,P167,Sabah,KUDAT,YB DATUK,ABD RAHIM BIN BAKRI,1961.0,male,bumiputera,BN - UMNO > BERSATU,,,https://www.parlimen.gov.my/images/webuser/ahli/2013/P.167-KUDAT.png,,45,3533.0,215.0,
14,P168,Sabah,KOTA MARUDU,YB DATUK SERI PANGLIMA DR.,JOHNITY @ MAXIMUS BIN ONGKILI,1954.0,male,bumiputera,PBS,Menteri di Jabatan Perdana Menteri (Hal Ehwal Sabah dan Sarawak),,https://www.parlimen.gov.my/images/webuser/ahli/2013/P.168-KOTA MARUDU.png,,1133,3537.0,216.0,
14,P169,Sabah,KOTA BELUD,YB PUAN,ISNARAISSAH MUNIRAH BT MAJILIS @ FAKHARUDY,1982.0,female,bumiputera,WARISAN,,,https://www.parlimen.gov.my/images/webuser/ahli/2013/P.169-KOTA BELUD.png,,1121,3882.0,319.0,
14,P170,Sabah,TUARAN,YB DATUK SERI PANGLIMA,MADIUS BIN TANGAU,1958.0,male,bumiputera,UPKO,,,https://www.parlimen.gov.my/images/webuser/ahli/2013/P.170-TUARAN.png,,496,3888.0,320.0,
14,P171,Sabah,SEPANGGAR,YB DATUK,MOHD AZIS BIN JAMMAN,1975.0,male,bumiputera,WARISAN,,,https://www.parlimen.gov.my/images/webuser/ahli/2013/P.171-SEPANGGAR.png,,1209,4314.0,404.0,
14,P172,Sabah,KOTA KINABALU,YB TUAN,CHAN FOONG HIN,1979.0,male,chinese,PH - DAP,,,https://www.parlimen.gov.my/images/webuser/ahli/2013/P.172-KOTA KINABALU.png,,1061,3587.0,232.0,
14,P173,Sabah,PUTATAN,YB TUAN,AWANG HUSAINI BIN SAHARI,1967.0,male,bumiputera,PH - PKR,,,https://www.parlimen.gov.my/images/webuser/ahli/2013/P.173-PUTATAN.png,,1049,4317.0,405.0,
14,P174,Sabah,PENAMPANG,YB DATUK,IGNATIUS DORELL LEIKING,1971.0,male,bumiputera,WARISAN,,,https://www.parlimen.gov.my/images/webuser/ahli/2013/P.174-PENAMPANG.png,,1115,3898.0,323.0,
14,P175,Sabah,PAPAR,YB TUAN HAJI,AHMAD BIN HASSAN,1961.0,male,bumiputera,WARISAN,,,https://www.parlimen.gov.my/images/webuser/ahli/2013/P.175-PAPAR.png,,1018,4322.0,406.0,
14,P176,Sabah,KIMANIS,YB DATUK,MOHAMAD BIN ALAMIN,1972.0,male,bumiputera,BN - UMNO,Timbalan Menteri Pendidikan II,,https://www.parlimen.gov.my/images/webuser/ahli/2013/kimanis.png,,1197,5082.0,543.0,
14,P177,Sabah,BEAUFORT,YB DATUK SERI PANGLIMA HAJAH,AZIZAH BINTI DATUK SERI PANGLIMA HAJI MOHD DUN,1955.0,female,bumiputera,BN - UMNO > BERSATU,,,https://www.parlimen.gov.my/images/webuser/ahli/2013/P197 GAMBAR.jpg,,157,3903.0,324.0,
14,P178,Sabah,SIPITANG,YB DATUK,YAMANI HAFEZ BIN MUSA,1978.0,male,bumiputera,BN - UMNO > BERSATU,Timbalan Menteri Kewangan II,,https://www.parlimen.gov.my/images/webuser/ahli/2013/P.178-SIPITANG.png,,1388,4325.0,407.0,
14,P179,Sabah,RANAU,YB DATUK,JONATHAN BIN YASIN,1968.0,male,bumiputera,PH - PKR > BERSATU,Timbalan Menteri Dalam Negeri II,,https://www.parlimen.gov.my/images/webuser/ahli/2013/P.179-RANAU.png,,1134,3566.0,226.0,
14,P180,Sabah,KENINGAU,YB DATUK SERI PANGLIMA DR.,GAPARI BIN KATINGAN@ GEOFFREY KITINGAN,1947.0,male,bumiputera,STAR,,,https://www.parlimen.gov.my/images/webuser/ahli/2013/P.180-KENINGAU.png,,1091,5103.0,547.0,
14,P181,Sabah,TENOM,YB PUAN,NOORITA BINTI SUAL,1980.0,female,bumiputera,PH - DAP,,,https://www.parlimen.gov.my/images/webuser/ahli/2013/P.181-TENOM.png,,1270,4336.0,408.0,
14,P182,Sabah,PENSIANGAN,YB DATUK,ARTHUR JOSEPH KURUP,1983.0,male,bumiputera,BN - PBRS,Timbalan Menteri Kerja Raya,,https://www.parlimen.gov.my/images/webuser/ahli//P.182-PENSIANGAN.png,,1047,4340.0,409.0,
14,P183,Sabah,BELURAN,YB DATUK SERI DR.,RONALD KIANDEE,1961.0,male,bumiputera,BN - UMNO > BERSATU,Menteri Pertanian dan Industri Makanan,,https://www.parlimen.gov.my/images/webuser/ahli/2013/P.183-BELURAN.png,,759,2857.0,68.0,
14,P184,Sabah,LIBARAN,YB DATUK,ZAKARIA BIN MOHD. EDRIS,1951.0,male,bumiputera,BN - UMNO > BERSATU,,,https://www.parlimen.gov.my/images/webuser/ahli/2013/P.184-LIBARAN.png,,1400,4347.0,410.0,
14,P185,Sabah,Batu Sapi,YB DATUK,LIEW VUI KEONG,1960.0,male,chinese,WARISAN,,,,death,1167,3581.0,229.0,
14,P185,Sabah,Batu Sapi,,,,,,,,,,kosong,9999999,9999999.0,579.0,
14,P186,Sabah,SANDAKAN,YB DATUK,WONG TIEN FATT @ WONG NYUK FOH,1955.0,male,chinese,PH - DAP,,,,death,1386,3924.0,327.0,
14,P186,Sabah,SANDAKAN,YB PUAN,VIVIAN WONG SHIR YEE,1989.0,female,chinese,PH - DAP,,,https://www.parlimen.gov.my/images/webuser/ahli/2019/YB Sandakan.jpg,,1363,5131.0,552.0,
14,P187,Sabah,KINABATANGAN,YB DATUK SERI PANGLIMA,BUNG MOKTAR BIN RADIN,1960.0,male,bumiputera,BN - UMNO,,,https://www.parlimen.gov.my/images/webuser/ahli/2013/P.187-KINABATANGAN.png,,177,2861.0,69.0,
14,P188,Sabah,LAHAD DATU,YB DATUK,MOHAMADDIN BIN KETAPI,1958.0,male,bumiputera,WARISAN > PBM,,,https://www.parlimen.gov.my/images/webuser/ahli/2013/27.jpg,,1201,2224.0,32.0,
14,P189,Sabah,SEMPORNA,YB DATUK SERI PANGLIMA HAJI,MOHD SHAFIE BIN HAJI APDAL,1957.0,male,bumiputera,WARISAN,,,https://www.parlimen.gov.my/images/webuser/ahli/2013/P.189-SEMPORNA.png,,589,3585.0,231.0,
14,P190,Sabah,TAWAU,YB DATUK,LIEW CHIN JIN,1952.0,female,chinese,PH - PKR,,,https://www.parlimen.gov.my/images/webuser/ahli/2013/P.190-TAWAU.png,,1165,3204.0,90.0,
14,P191,Sabah,KALABAKAN,YB TUAN,MA'MUN BIN SULAIMAN,1965.0,male,bumiputera,WARISAN,,,https://www.parlimen.gov.my/images/webuser/ahli/2013/P.191-KALABAKAN.png,,1177,4360.0,411.0,
14,P192,Sarawak,MAS GADING,YB TUAN,MORDI BIMOL,1985.0,male,bumiputera,PH - DAP,,,https://www.parlimen.gov.my/images/webuser/ahli/2013/P.192-MAS GADING.png,,1241,3940.0,331.0,
14,P193,Sarawak,SANTUBONG,YB DATO SRI DR. HAJI,WAN JUNAIDI BIN TUANKU JAAFAR,1946.0,male,bumiputera,GPS - PBB,Menteri di Jabatan Perdana Menteri (Parlimen dan Undang-Undang),,https://www.parlimen.gov.my/images/webuser/ahli/2013/junaidi.jpg,,926,2242.0,36.0,
14,P194,Sarawak,PETRA JAYA,YB DATO' SRI HAJI,FADILLAH BIN YUSOF,1962.0,male,bumiputera,GPS - PBB,Menteri Kanan Kerja Raya,,https://www.parlimen.gov.my/images/webuser/ahli/2013/P.194-PERTAJAYA.png,,249,3242.0,93.0,
14,P195,Sarawak,BANDAR KUCHING,YB DR.,KELVIN YII LEE WUEN,1986.0,male,chinese,PH - DAP,,,https://www.parlimen.gov.my/images/webuser/ahli/2013/P.195-BANDAR KUCHING.png,,1145,4367.0,412.0,
14,P196,Sarawak,STAMPIN,YB TUAN,CHONG CHIENG JEN,1971.0,male,chinese,PH - DAP,,,https://www.parlimen.gov.my/images/webuser/ahli/2013/P.196-STAMPIN.png,,215,2874.0,70.0,
14,P197,Sarawak,KOTA SAMARAHAN,YB DATUK HAJAH,RUBIAH BINTI HAJI WANG,1968.0,female,bumiputera,GPS - PBB,,,https://www.parlimen.gov.my/images/webuser/ahli/2013/P.197-KOTA SAMARAHAN.png,,1306,3947.0,333.0,
14,P198,Sarawak,PUNCAK BORNEO,YB DATUK,WILLIE ANAK MONGIN,1976.0,male,bumiputera,PH - PKR > BERSATU,Timbalan Menteri Perusahaan Perladangan dan Komoditi I,,https://www.parlimen.gov.my/images/webuser/ahli/2013/P.198-PUNCAK BORNEO.png,,1376,3949.0,334.0,
14,P199,Sarawak,SERIAN,YB DATO' SRI (DR),RICHARD RIOT ANAK JAEM,1952.0,male,bumiputera,GPS - SUPP,,,https://www.parlimen.gov.my/images/webuser/ahli/2013/P.199-SERIAN.png,,754,2236.0,35.0,
14,P200,Sarawak,BATANG SADONG,YB DATO' SRI HAJAH,NANCY BINTI SHUKRI,1961.0,female,bumiputera,GPS - PBB,"Menteri Pelancongan, Seni dan Budaya",,https://www.parlimen.gov.my/images/webuser/ahli/2013/P.200-BATANG SADONG.png,,1254,3603.0,236.0,
14,P201,Sarawak,BATANG LUPAR,YB DATO SRI HAJAH,ROHANI BINTI ABDUL KARIM,1955.0,female,bumiputera,GPS - PBB,,,https://www.parlimen.gov.my/images/webuser/ahli/2013/P.201-BATANG LUPAR.png,,758,2230.0,33.0,
14,P202,Sarawak,SRI AMAN,YB DATO',MASIR ANAK KUJAT,1955.0,male,bumiputera,PRS > PSB > BEBAS,,,https://www.parlimen.gov.my/images/webuser/ahli/2013/P.202-SRI AMAN.png,,1188,3607.0,237.0,
14,P203,Sarawak,LUBOK ANTU,YB TUAN,TAMBAT@ JUGAH ANAK MUYANG,1964.0,male,bumiputera,PH - PKR > BEBAS,,,https://www.parlimen.gov.my/images/webuser/ahli/2013/P.203-LUBOK ANTU.png,,1352,4379.0,413.0,
14,P204,Sarawak,BETONG,YB DATUK,ROBERT LAWSON CHUAT,1959.0,male,bumiputera,GPS - PBB,,,https://www.parlimen.gov.my/images/webuser/ahli/2013/P.204-BETONG.png,,1298,4383.0,414.0,
14,P205,Sarawak,SARATOK,YB DATUK,ALI ANAK BIJU,1968.0,male,bumiputera,PH - PKR > BERSATU,Timbalan Menteri Tenaga dan Sumber Asli,,https://www.parlimen.gov.my/images/webuser/ahli/2013/P.205-SARATOK.png,,1035,3958.0,336.0,
14,P206,Sarawak,TANJONG MANIS,YB TUAN HAJI,YUSUF BIN ABD WAHAB,1964.0,male,bumiputera,GPS - PBB,,,https://www.parlimen.gov.my/images/webuser/ahli/2013/P.206-TANJONG MANIS.png,,1393,4385.0,415.0,
14,P207,Sarawak,IGAN,YB TUAN HAJI,AHMAD JOHNIE BIN HAJI ZAWAWI,1962.0,male,bumiputera,GPS - PBB,,,https://www.parlimen.gov.my/images/webuser/ahli/2013/P.207-IGAN.png,,1027,4388.0,416.0,
14,P208,Sarawak,SARIKEI,YB TUAN,WONG LING BIU,1959.0,male,chinese,PH - DAP,,,https://www.parlimen.gov.my/images/webuser/ahli/2013/P.208-SARIKEI.png,,1382,3962.0,337.0,
