author_id,author,birth_year,sex,ethnicity
2615,SAIFUDDIN NASUTION BIN ISMAIL,1964.0,male,bumiputera
2655,ABDULLAH BIN HAJI AHMAD BADAWI,1940.0,male,bumiputera
2661,CHONG ENG,1958.0,female,chinese
2665,CHOW KON YEOW,1958.0,male,chinese
2678,ROSLAN BIN SHAHARUM,1959.0,male,bumiputera
2692,FONG PO KUAN,1974.0,female,chinese
2706,KONG CHO HA,1951.0,male,chinese
2709,MAH SIEW KEONG,1962.0,male,chinese
2721,LIOW TIONG LAI,1962.0,male,chinese
2769,TERESA KOK SUH SIM,1964.0,female,chinese
2778,SHAZIMAN BIN ABU MANSOR,1964.0,male,bumiputera
2789,CHUA TIAN CHANG @ TIAN CHUA,1964.0,male,chinese
2797,MUHYIDDIN BIN MOHD. YASSIN,1947.0,male,bumiputera
2797,MAHIADDIN BIN HAJI MD YASIN,1947.0,male,bumiputera
2857,RONALD KIANDEE,1961.0,male,bumiputera
2861,BUNG MOKTAR BIN RADIN,1959.0,male,bumiputera
2874,CHONG CHIENG JEN,1971.0,male,chinese
2894,JOSEPH SALANG ANAK GANDUM,1950.0,male,bumiputera
2903,ALEXANDER NANTA LINGGI,1958.0,male,bumiputera
2912,HENRY SUM AGONG,1946.0,male,bumiputera
2922,IDRIS BIN HAJI AHMAD,1963.0,male,bumiputera
2928,MAHFUZ BIN HAJI OMAR,1958.0,male,bumiputera
2932,MOHAMAD BIN SABU,1954.0,male,bumiputera
2934,MOHD HAYATI BIN OTHMAN,1958.0,male,bumiputera
2958,SALAHUDDIN BIN HAJI AYUB,1962.0,male,bumiputera
2986,AHMAD SHABERY BIN CHEEK,1959.0,male,bumiputera
2990,MUJAHID BIN YUSOF RAWA,1965.0,male,bumiputera
3012,TAN LIAN HOE,1959.0,female,chinese
3019,MICHAEL JEYAKUMAR DEVARAJ,1955.0,male,indian
3061,ISMAIL SABRI BIN YAAKOB,1960.0,male,bumiputera
3095,KHALID BIN ABD. SAMAD,1957.0,male,bumiputera
3142,SHAMSUL ISKANDAR @ YUSRE BIN HAJI MOHD AKIN,1975.0,male,bumiputera
3148,PANG HOK LIONG,1957.0,male,chinese
3153,HAMIM BIN SAMURI,1958.0,male,bumiputera
3186,TAN AH ENG,1956.0,female,chinese
3203,HIEW KING CHEU,1952.0,male,chinese
3204,LIEW CHIN JIN,1952.0,female,chinese
3226,JUSLIE BIN AJIROL,1954.0,male,bumiputera
3228,EDMUND CHONG KET WAH,1956.0,male,chinese
3238,ABDUL GHAPUR BIN SALLEH,1943.0,male,bumiputera
3242,FADILLAH BIN HAJI YUSOF,1962.0,male,bumiputera
3254,DOUGLAS UGGAH EMBAS,1956.0,male,bumiputera
3265,AARON AGO ANAK DAGANG,1959.0,male,bumiputera
