author_id,vol,author,birth_year,sex,ethnicity,party,negeri,area,kod_kawasan,exec_posts,service_posts,start_date,end_date
3924,14,WONG TIEN FATT @ WONG NYUK FOH,1955,male,chinese,PH - DAP,Sabah,SANDAKAN,P186,,,2018-05-09,2019-03-28
3928,13,DATU NASRUN BIN DATU MANSUR,1953,male,bumiputera,BN - UMNO,Sabah,Silam,P188,Timbalan Menteri Perusahaan Perladangan dan Komoditi,,2013-05-05,2018-04-07
3932,13,MARY YAP KAIN CHING @ YAP KEN JIN,1951,female,chinese,BN - PBS,Sabah,Tawau,P190,Timbalan Menteri Pendidikan Tinggi,,2013-05-05,2018-04-07
3939,13,NOGEH ANAK GUMBEK,1957,male,bumiputera,BN - PDP,Sarawak,Mas Gading,P192,Timbalan Menteri Pertanian dan Industri Asas Tani,,2013-05-05,2018-04-07
3940,14,MORDI BIMOL,1985,male,bumiputera,PH - DAP,Sarawak,MAS GADING,P192,,,2018-05-09,2022-10-10
3945,13,JULIAN TAN KOK PING,1979,male,chinese,DAP,Sarawak,Stampin,P196,,,2013-05-05,2018-04-07
3947,13,RUBIAH BINTI HAJI WANG,1968,female,bumiputera,BN - PBB,Sarawak,Kota Samarahan,P197,,,2013-05-05,2018-04-07
3947,14,RUBIAH BINTI HAJI WANG,1968,female,bumiputera,GPS - PBB,Sarawak,KOTA SAMARAHAN,P197,,,2018-05-09,2022-10-10
3947,15,RUBIAH BINTI HAJI WANG,1968,female,bumiputera,GPS,Sarawak,Kota Samarahan,P197,Timbalan Menteri Kemajuan Desa dan Wilayah,,2022-11-19,
3949,14,WILLIE ANAK MONGIN,1975,male,bumiputera,PH - PKR,Sarawak,PUNCAK BORNEO,P198,Timbalan Menteri Perusahaan Perladangan dan Komoditi I,,2018-05-09,2020-02-24
3949,14,WILLIE ANAK MONGIN,1975,male,bumiputera,BEBAS,Sarawak,PUNCAK BORNEO,P198,Timbalan Menteri Perusahaan Perladangan dan Komoditi I,,2020-02-24,2020-08-22
3949,14,WILLIE ANAK MONGIN,1975,male,bumiputera,BERSATU,Sarawak,PUNCAK BORNEO,P198,Timbalan Menteri Perusahaan Perladangan dan Komoditi I,,2020-08-22,2022-08-06
3949,14,WILLIE ANAK MONGIN,1975,male,bumiputera,GPS - PBB,Sarawak,PUNCAK BORNEO,P198,Timbalan Menteri Perusahaan Perladangan dan Komoditi I,,2022-08-06,2022-10-10
